split,cls,rows_pipeline,rows_arm,delta,kept_frac
train,benign,10508775,4811120,-5697655,0.4578192986337608
train,bot,124621,1682,-122939,0.013496922669534027
train,brute_force,345116,56387,-288729,0.16338564424715168
train,ddos,794609,306964,-487645,0.3863082346160187
train,dos,181779,78594,-103185,0.4323601736174146
train,infiltration,112891,15889,-97002,0.14074638367983275
train,web_attacks,1522,409,-1113,0.26872536136662284
val,benign,3502925,1603707,-1899218,0.4578193937923307
val,bot,41540,561,-40979,0.013505055368319693
val,brute_force,115038,18796,-96242,0.1633894886906935
val,ddos,264869,102322,-162547,0.3863117239088002
val,dos,60593,26198,-34395,0.4323601736174146
val,infiltration,37630,5297,-32333,0.14076534679776773
val,web_attacks,507,136,-371,0.2682445759368836
test,benign,3502926,1603707,-1899219,0.4578192630960517
test,bot,41542,561,-40981,0.013504405180299456
test,brute_force,115040,18796,-96244,0.1633866481223922
test,ddos,264872,102323,-162549,0.38631112386360206
test,dos,60594,26199,-34395,0.4323695415387662
test,infiltration,37631,5297,-32334,0.14076160612261168
test,web_attacks,509,138,-371,0.27111984282907664
