true_class,pred_class,selected_expert,reason,Brute_Known_accept,DoS_Known_accept,Web_Infiltration_Known_accept,Brute_Known_margin,DoS_Known_margin,Web_Infiltration_Known_margin,Brute_Known_stability,DoS_Known_stability,Web_Infiltration_Known_stability
heartbleed,heartbleed,DoS_Known,meta_router,False,True,True,-6.7721171379089355,4.718628883361816,4.972263813018799,0.9706951379776001,0.9948919415473938,0.8837804794311523
heartbleed,heartbleed,DoS_Known,meta_router,False,True,True,-6.7721171379089355,4.718628883361816,4.972263813018799,0.984885036945343,0.9953312873840332,0.87548828125
web-attack-brute-force,normal,,exp0_ood,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.047056198120117,-13.201162338256836,0.34857451915740967,0.9069984555244446,0.4690016806125641,0.9161996841430664
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-2.2192585468292236,-17.955364227294922,3.3272199630737305,0.9885957837104797,0.7317224740982056,0.9676605463027954
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.4163875579834,-4.7591633796691895,1.1616419553756714,0.7288759350776672,0.8374658823013306,0.9641939401626587
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-3.736525774002075,2.647562026977539,0.7059934735298157,0.9031834602355957,0.9925640225410461
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.167313098907471,2.311819314956665,0.7040202021598816,0.9350460171699524,0.9950982928276062
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.9506959915161133,2.3565685749053955,0.761792004108429,0.9689189791679382,0.9237083196640015
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.167313098907471,2.4033689498901367,0.8399659991264343,0.93799889087677,0.9915873408317566
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.27126932144165,2.237715721130371,0.6765580177307129,0.9518938064575195,0.9573383331298828
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.27126932144165,2.3946259021759033,0.7787777185440063,0.9656181335449219,0.9700597524642944
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.444285869598389,2.1311521530151367,0.8495887517929077,0.9121773838996887,0.9699865579605103
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.324302673339844,2.400330066680908,0.776804506778717,0.9320329427719116,0.9847466349601746
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-3.9506959915161133,3.2857251167297363,0.8476155996322632,0.9035471081733704,0.872363269329071
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-9.11999225616455,2.1676933765411377,0.761792004108429,0.8828632235527039,0.9607714414596558
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-9.27568531036377,2.4571220874786377,0.8423193097114563,0.8720785975456238,0.9632095098495483
web-attack-brute-force,ssh-patator,Brute_Known,meta_router,True,False,True,2.736205816268921,-4.445561408996582,3.578672409057617,0.9982827305793762,0.8999455571174622,0.9751003980636597
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.27126932144165,2.4566094875335693,0.6332091689109802,0.8991135358810425,0.9786772727966309
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-3.7550947666168213,-17.364057540893555,4.167836666107178,0.9832399487495422,0.4913824200630188,0.9182554483413696
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-9.171701431274414,2.1845288276672363,0.7641453146934509,0.8587843179702759,0.9943464398384094
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-4.151434898376465,1.8794728517532349,0.7059934735298157,0.9137545824050903,0.971962571144104
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-3.6471540927886963,-9.127443313598633,2.1677002906799316,0.9997230768203735,0.9281914830207825,0.9491571187973022
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.147572040557861,2.5382087230682373,0.6789113283157349,0.9030078649520874,0.9217773675918579
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.9506959915161133,3.6085596084594727,0.8376126289367676,0.9399672746658325,0.8620879054069519
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.147572040557861,2.417109966278076,0.6812646985054016,0.9540178179740906,0.9901862144470215
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.9287467002868652,2.9960787296295166,0.8399659991264343,0.9302307367324829,0.8805864453315735
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-3.427504777908325,-9.121198654174805,2.1677002906799316,0.9949552416801453,0.6738200783729553,0.9491571187973022
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-9.239516258239746,2.2477734088897705,0.7040202021598816,0.868078351020813,0.9591090083122253
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-4.130123138427734,3.616312026977539,0.7807509899139404,0.9296368360519409,0.9697971343994141
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.621606826782227,2.4572622776031494,0.7040202021598816,0.948948085308075,0.9495339393615723
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.27126932144165,2.333834171295166,0.8423193097114563,0.9670690298080444,0.9380996823310852
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-3.9506959915161133,2.0403149127960205,0.707966685295105,0.863623321056366,0.9966682195663452
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.147572040557861,2.2979483604431152,0.8515620231628418,0.9015315175056458,0.9769560098648071
web-attack-brute-force,dos-goldeneye,DoS_Known,meta_router,False,True,True,-16.879051208496094,1.8049485683441162,5.309488773345947,0.7615063786506653,0.8677255511283875,0.9560589790344238
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-0.41790348291397095,-17.256208419799805,5.1581573486328125,0.9941495656967163,0.41329604387283325,0.899005115032196
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.167313098907471,2.2711551189422607,0.6812646985054016,0.9379987716674805,0.9848788976669312
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.621606826782227,2.4066243171691895,0.8495887517929077,0.932904839515686,0.9450562596321106
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-3.427504777908325,-9.121198654174805,2.280172824859619,0.9853744506835938,0.4213908314704895,0.9458243250846863
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.131870269775391,2.3896899223327637,0.7570853233337402,0.9191246032714844,0.9915559887886047
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.212791442871094,-6.5127973556518555,3.193707227706909,0.7790991067886353,0.9678643345832825,0.9462324976921082
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.455836296081543,2.255129337310791,0.8495887517929077,0.9488316774368286,0.9365946054458618
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.9506959915161133,2.376149892807007,0.8423193097114563,0.8780991435050964,0.9667016267776489
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-9.388853073120117,2.379070281982422,0.8495887517929077,0.8370374441146851,0.9659539461135864
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.212791442871094,-4.333946704864502,2.943070650100708,0.8217408061027527,0.9391026496887207,0.9679844975471497
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.27126932144165,2.4667415618896484,0.7059934735298157,0.9352676272392273,0.9927108883857727
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.5345993041992188,2.5711781978607178,0.6812646985054016,0.9396649599075317,0.9739663004875183
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-6.615204334259033,2.683764696121216,0.6371556520462036,0.9123522639274597,0.9310997128486633
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.136436462402344,-4.336118698120117,2.7557637691497803,0.8495887517929077,0.9442318677902222,0.9932910203933716
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.212791442871094,-10.485754013061523,2.2935237884521484,0.9093475341796875,0.552216112613678,0.9819608926773071
web-attack-brute-force,web-attack-xss,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-6.27126932144165,2.4667880535125732,0.7570853233337402,0.932365894317627,0.9404695630073547
web-attack-brute-force,web-attack-brute-force,Web_Infiltration_Known,only_accept,False,False,True,-17.197946548461914,-3.5345993041992188,2.2372682094573975,0.6054440140724182,0.8888829946517944,0.9735953211784363
