Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
BENIGN,1.0,0.8908540495594404,0.9879027760656065,0.9909290976940006
Bot,0.0,0.0,0.36115843270868825,0.5254027261462205
DDoS,0.0,0.0,0.9908092064153301,0.9947069202117232
DoS GoldenEye,0.0,0.0,0.9815414507772021,0.9855308079986994
DoS Hulk,0.0,0.0,0.9915842229529093,0.9767428587735069
DoS Slowhttptest,0.0,0.0,0.9866666666666667,0.9372481289579735
DoS slowloris,0.0,0.0,0.9890741805635422,0.9822958309537407
FTP-Patator,0.0,0.0,0.9907563025210084,0.9911727616645649
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.9564870594655863,0.9257460943055076
SSH-Patator,0.0,0.0,0.9802148106274732,0.9625312239800167
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
