model,class,test_average_precision,test_prevalence
global,backdoor,0.9994618755931943,0.0176209863614534
global,benign,0.9698857096827975,0.6489796511282405
global,ddos,0.9887155351679251,0.04548882060004675
global,dos,0.9916504102942048,0.009885888376355744
global,injection,0.9735681052695322,0.030325440205518014
global,mitm,0.7664790174703403,0.0005110658297688582
global,password,0.6461742373295493,0.09285947274381604
global,ransomware,0.04773453970481729,0.0003120979098243932
global,scanning,0.3309945889666867,0.002653932719790221
global,xss,0.7522400419485584,0.15136264412518605
expert1,backdoor,0.9971389000437932,0.0176209863614534
expert1,benign,0.9741112462458581,0.6489796511282405
expert1,ddos,0.9863577137824826,0.04548882060004675
expert1,dos,0.9786207967898568,0.009885888376355744
expert1,injection,0.9604002518529695,0.030325440205518014
expert1,mitm,0.7195162846969093,0.0005110658297688582
expert1,password,0.6570156483402845,0.09285947274381604
expert1,ransomware,0.06524041907307651,0.0003120979098243932
expert1,scanning,0.6143961299030235,0.002653932719790221
expert1,xss,0.7535163343311058,0.15136264412518605
expert2,backdoor,0.9991936266602792,0.0176209863614534
expert2,benign,0.9716243787276804,0.6489796511282405
expert2,ddos,0.9937883188573563,0.04548882060004675
expert2,dos,0.9921484127977439,0.009885888376355744
expert2,injection,0.9678569767887306,0.030325440205518014
expert2,mitm,0.7550831509125948,0.0005110658297688582
expert2,password,0.6515809812415015,0.09285947274381604
expert2,ransomware,0.0680982334069254,0.0003120979098243932
expert2,scanning,0.8311564928204218,0.002653932719790221
expert2,xss,0.7589833050257615,0.15136264412518605
expert3,backdoor,0.9928286751783628,0.0176209863614534
expert3,benign,0.9739584262755946,0.6489796511282405
expert3,ddos,0.9924124668267083,0.04548882060004675
expert3,dos,0.9918242635187196,0.009885888376355744
expert3,injection,0.9301150544987831,0.030325440205518014
expert3,mitm,0.802447210166673,0.0005110658297688582
expert3,password,0.6317473314826133,0.09285947274381604
expert3,ransomware,0.062952906571834,0.0003120979098243932
expert3,scanning,0.5805622641432364,0.002653932719790221
expert3,xss,0.713311961551783,0.15136264412518605
expert4,backdoor,0.9977716035431032,0.0176209863614534
expert4,benign,0.972163095369758,0.6489796511282405
expert4,ddos,0.9910897067958115,0.04548882060004675
expert4,dos,0.9796465754725566,0.009885888376355744
expert4,injection,0.9665675764384096,0.030325440205518014
expert4,mitm,0.7344084781428838,0.0005110658297688582
expert4,password,0.6484586049600504,0.09285947274381604
expert4,ransomware,0.0674536900630039,0.0003120979098243932
expert4,scanning,0.49471760207930027,0.002653932719790221
expert4,xss,0.7069439456022112,0.15136264412518605
expert5,backdoor,0.9994088256658922,0.0176209863614534
expert5,benign,0.974918123798428,0.6489796511282405
expert5,ddos,0.9940604121890975,0.04548882060004675
expert5,dos,0.9883660829185673,0.009885888376355744
expert5,injection,0.9718238325499324,0.030325440205518014
expert5,mitm,0.7500405134615672,0.0005110658297688582
expert5,password,0.6569575053028313,0.09285947274381604
expert5,ransomware,0.22665966939744453,0.0003120979098243932
expert5,scanning,0.61299412294334,0.002653932719790221
expert5,xss,0.7613288719743652,0.15136264412518605
expert6,backdoor,0.9994002606178074,0.0176209863614534
expert6,benign,0.970900859572568,0.6489796511282405
expert6,ddos,0.994122686437733,0.04548882060004675
expert6,dos,0.9913216492234833,0.009885888376355744
expert6,injection,0.9748048284365363,0.030325440205518014
expert6,mitm,0.7015919593867488,0.0005110658297688582
expert6,password,0.6648209255115849,0.09285947274381604
expert6,ransomware,0.06796353178215511,0.0003120979098243932
expert6,scanning,0.6126193784885728,0.002653932719790221
expert6,xss,0.7424543126585528,0.15136264412518605
expert7,backdoor,0.9994308342682073,0.0176209863614534
expert7,benign,0.9737394234000801,0.6489796511282405
expert7,ddos,0.990185770615222,0.04548882060004675
expert7,dos,0.9880662563413182,0.009885888376355744
expert7,injection,0.9799562218039484,0.030325440205518014
expert7,mitm,0.7721075278826783,0.0005110658297688582
expert7,password,0.6469863675660599,0.09285947274381604
expert7,ransomware,0.06931475506757843,0.0003120979098243932
expert7,scanning,0.679374050878983,0.002653932719790221
expert7,xss,0.711624477845325,0.15136264412518605
