model,class,support,TP,FP,FN,f1
global_raw,backdoor,40030,40002,68,28,0.9988014981273409
global_raw,benign,1474302,1259320,43070,214982,0.9070649535490433
global_raw,ddos,103338,99863,2058,3475,0.973043812938775
global_raw,dos,22458,21983,341,475,0.9817783931043723
global_raw,injection,68891,66236,7255,2655,0.930398505429057
global_raw,mitm,1161,1067,41915,94,0.04834288562172938
global_raw,password,210951,210349,50864,602,0.8909997373793851
global_raw,ransomware,709,648,7918,61,0.13973045822102426
global_raw,scanning,6029,482,48,5547,0.14697362402805306
global_raw,xss,343854,307239,110997,36615,0.806306341770657
global_calibrated,backdoor,40030,40002,68,28,0.9988014981273409
global_calibrated,benign,1474302,1259320,43070,214982,0.9070649535490433
global_calibrated,ddos,103338,99863,2058,3475,0.973043812938775
global_calibrated,dos,22458,21983,341,475,0.9817783931043723
global_calibrated,injection,68891,66236,7255,2655,0.930398505429057
global_calibrated,mitm,1161,1067,41915,94,0.04834288562172938
global_calibrated,password,210951,210349,50864,602,0.8909997373793851
global_calibrated,ransomware,709,648,7918,61,0.13973045822102426
global_calibrated,scanning,6029,482,48,5547,0.14697362402805306
global_calibrated,xss,343854,307239,110997,36615,0.806306341770657
designed_e1_raw,backdoor,40030,40010,278,20,0.9962897482507035
designed_e1_raw,benign,1474302,1187251,2017,287051,0.8914734735711846
designed_e1_raw,ddos,103338,100315,2227,3023,0.9744997085680979
designed_e1_raw,dos,22458,21946,861,512,0.969667513531426
designed_e1_raw,injection,68891,65824,7040,3067,0.9287009276568727
designed_e1_raw,mitm,1161,1137,65526,24,0.03352795470629866
designed_e1_raw,password,210951,210409,50105,542,0.8925752706987793
designed_e1_raw,ransomware,709,648,8965,61,0.1255570625847704
designed_e1_raw,scanning,6029,4633,42541,1396,0.17416311110275737
designed_e1_raw,xss,343854,338462,121528,5392,0.842108667850976
designed_e1_calibrated,backdoor,40030,40010,278,20,0.9962897482507035
designed_e1_calibrated,benign,1474302,1187251,2017,287051,0.8914734735711846
designed_e1_calibrated,ddos,103338,100315,2227,3023,0.9744997085680979
designed_e1_calibrated,dos,22458,21946,861,512,0.969667513531426
designed_e1_calibrated,injection,68891,65824,7040,3067,0.9287009276568727
designed_e1_calibrated,mitm,1161,1137,65526,24,0.03352795470629866
designed_e1_calibrated,password,210951,210409,50105,542,0.8925752706987793
designed_e1_calibrated,ransomware,709,648,8965,61,0.1255570625847704
designed_e1_calibrated,scanning,6029,4633,42541,1396,0.17416311110275737
designed_e1_calibrated,xss,343854,338462,121528,5392,0.842108667850976
