model,class,AP,R_at_FPR_001,R_at_FPR_01
global_raw,backdoor,0.9994522979373813,0.9995503372470647,0.9996002997751686
global_raw,benign,0.9700252085908642,0.4153497722990269,0.836440566451107
global_raw,ddos,0.9884652652895731,0.972468985271633,0.9878747411407227
global_raw,dos,0.9919321902908842,0.9886899991094488,0.9911390150503161
global_raw,injection,0.9744548293904187,0.9375825579538691,0.9715492589743218
global_raw,mitm,0.7585719036034134,0.7846683893195521,0.8888888888888888
global_raw,password,0.6462834485270317,0.0017492213831648109,0.04369261108029827
global_raw,ransomware,0.05614728372260423,0.03244005641748942,0.9139633286318759
global_raw,scanning,0.3026066499288837,0.12638911925692486,0.5851716702604081
global_raw,xss,0.7537224221646819,0.014930755495064766,0.16601522739302146
global_calibrated,backdoor,0.9994586677683222,0.9995503372470647,0.9996002997751686
global_calibrated,benign,0.969837920996555,0.39079035367244974,0.8351477512748405
global_calibrated,ddos,0.9882754682468996,0.9762333313979369,0.987855387176063
global_calibrated,dos,0.9917018363747586,0.9886899991094488,0.9910054323626325
global_calibrated,injection,0.9737940529072763,0.9386131715318402,0.9712444296061895
global_calibrated,mitm,0.7643707740110881,0.7872523686477175,0.8931955211024979
global_calibrated,password,0.6466536108323064,0.0017918853193395622,0.04364046626941802
global_calibrated,ransomware,0.05905577233264744,0.03526093088857546,0.9139633286318759
global_calibrated,scanning,0.3383509648866684,0.14446840272018577,0.6299552164538066
global_calibrated,xss,0.7521553675214585,0.014875499485246645,0.16243812781005892
designed_e1_raw,backdoor,0.9989122098060073,0.9995503372470647,0.9996002997751686
designed_e1_raw,benign,0.9709524269285552,0.6793370693385752,0.8491896504244042
designed_e1_raw,ddos,0.9840789908583595,0.9744043817375989,0.9880489268226597
designed_e1_raw,dos,0.9905163948017724,0.9827678332888058,0.9893133849853059
designed_e1_raw,injection,0.9713168359982619,0.9263764497539592,0.9682396829774571
designed_e1_raw,mitm,0.7118357147657046,0.7484926787252368,0.8639104220499569
designed_e1_raw,password,0.6514966761514803,0.008518565922892046,0.07225374613061801
designed_e1_raw,ransomware,0.19121668631673644,0.3906911142454161,0.9139633286318759
designed_e1_raw,scanning,0.6385265603084662,0.5153425111958866,0.8483994028860508
designed_e1_raw,xss,0.7242474522358068,0.007948140780680173,0.11232674332710976
designed_e1_calibrated,backdoor,0.9989122102785788,0.9995503372470647,0.9996002997751686
designed_e1_calibrated,benign,0.9709524264674377,0.6793370693385752,0.8491896504244042
designed_e1_calibrated,ddos,0.9840789913031912,0.9744043817375989,0.9880489268226597
designed_e1_calibrated,dos,0.9905163948017723,0.9827678332888058,0.9893133849853059
designed_e1_calibrated,injection,0.9713168373578388,0.9263764497539592,0.9682396829774571
designed_e1_calibrated,mitm,0.7118357097994578,0.7484926787252368,0.8639104220499569
designed_e1_calibrated,password,0.6514967180909269,0.008518565922892046,0.07225374613061801
designed_e1_calibrated,ransomware,0.19111799357927686,0.3906911142454161,0.9139633286318759
designed_e1_calibrated,scanning,0.6385265651917668,0.5153425111958866,0.8483994028860508
designed_e1_calibrated,xss,0.7242475581433858,0.007942324358594054,0.11245470461300436
