status,abbreviation,title,first_submitted_utc,last_updated_utc,version,relevance,source_status,connection_to_project,claim_boundary,url,reviewed_on
신규,HINT,Streaming Hierarchical Inference with Tabular Foundation Models,2026-09-07T20:26:36Z,2026-09-07T20:26:36Z,1,높음,Workshop (arXiv comment: ECML PKDD 2026),검색 context와 선택적 TabPFN 호출을 결합. kNN confidence 기반 offload; 별도 사후 verifier는 제시하지 않음.,6개 stream의 첫 20k; IDS tail 결과로 일반화 불가.,https://arxiv.org/abs/2609.07956,2026-09-09
신규,LoGIC,LoGIC: Budgeted Context Construction for Node-Level Graph In-Context Learning with Tabular Foundation Models,2026-09-05T07:43:30Z,2026-09-05T07:43:30Z,1,높음,Preprint,구조·특징·피복 검색과 cluster별 공유 context. label context와 unlabeled halo 예산 분리.,그래프 node classification. NetFlow 행 분류와 입력 구조가 다름.,https://arxiv.org/abs/2609.05955,2026-09-09
신규,Xiaomi-TabLDM,Xiaomi-TabLDM: A Tabular Foundation Model Technical Report,2026-09-03T14:06:41Z,2026-09-04T03:23:21Z,2,중간,Technical report / preprint,"공유 expert와 routed expert를 가진 내부 sparse MoE, context와 test-time compute 확장.",사전학습 모델 내부의 FFN MoE. frozen PFN 외부 context expert routing과 구별.,https://arxiv.org/abs/2609.03880,2026-09-09
신규,Mitra-v2,Mitra-v2 Technical Report,2026-09-03T22:55:05Z,2026-09-03T22:55:05Z,1,중간,Technical report / preprint,"synthetic prior 확장, 장문 context, 공개 backbone 비교 후보.",일반 benchmark 성능은 CIC2018 tail 성능의 증거가 아님.,https://arxiv.org/abs/2609.04540,2026-09-09
신규,Structural coverage,From Synthetic Priors to Model Behavior: Structural Coverage in Tabular Foundation Models,2026-09-07T01:27:45Z,2026-09-07T01:27:45Z,1,중간,Preprint,합성 pretraining prior의 구조적 피복과 downstream 성능의 관계를 조사.,inference context 선택 연구와 다른 층위; 연관성을 인과적 보장으로 해석하지 않음.,https://arxiv.org/abs/2609.06912,2026-09-09
기존 항목 버전 갱신,TabPFN-Rel,"Advancing Open and Reproducible Relational Learning: RelArena-$α$, TabPFN-Rel and RPI",2026-08-17T09:25:05Z,2026-09-07T13:33:18Z,2,중간,Preprint,xlsx에 있던 항목의 v2가 9월 7일 제출됨을 확인.,버전 갱신 사실을 확인했으며 본문의 어떤 기법이 v2에서 새로 생겼는지는 주장하지 않음.,https://arxiv.org/abs/2608.16319,2026-09-09
기존 조사 누락 보완,LUCoS,LUCoS: Latent Unsupervised Context Selection for Tabular Foundation Models,2026-05-26T16:31:39Z,2026-05-26T16:31:39Z,1,높음,Preprint,unsupervised PFN latent geometry에서 medoid context 선택. 거리 표현의 타당성 대조군.,low-label cold-start 67 datasets; 100k IDS의 효과는 검증 필요.,https://arxiv.org/abs/2605.27254,2026-09-09
기존 조사 누락 보완,Context topology,Topological Signatures of Context-Level Reliability in TabPFN,2026-07-20T14:04:01Z,2026-07-20T14:04:01Z,1,중간,Preprint,내부 표현의 topology와 context-level reliability 간 연관성.,합성 geometry 진단 연구; 표본별 gate의 보장이나 완성된 선택기로 인용하지 않음.,https://arxiv.org/abs/2607.17962,2026-09-09
기존 조사 누락 보완,L2D with advice,Learning-to-Defer with Expert-Conditional Advice,2026-03-15T10:52:58Z,2026-05-29T07:46:48Z,5,매우 높음,Preprint,expert와 추가 정보의 결합 action 공간을 최적화하는 일관성 이론.,현재 scorer/verifier 구조가 그 논문의 반례라는 뜻은 아님. 제안 구조의 이론적 출발점.,https://arxiv.org/abs/2603.14324,2026-09-09
기존 조사 누락 보완,Multi-expert routing,Mastering Multiple-Expert Routing: Realizable $H$-Consistency and Strong Guarantees for Learning to Defer,2025-06-25T17:48:58Z,2025-12-29T02:51:41Z,2,높음,ICML 2025 (PMLR verified),고정 expert의 정확도·비용을 함께 최적화하는 surrogate 및 H-consistency.,유한 표본·시간 이동·CIC2018에서 자동 보장은 아님.,https://arxiv.org/abs/2506.20650,2026-09-09
