split,energy
cifar10_train_id,3.2475958
cifar10_train_id,2.653804
cifar10_train_id,3.736693
cifar10_train_id,3.061105
cifar10_train_id,2.7680793
cifar10_train_id,2.8406377
cifar10_train_id,2.6946247
cifar10_train_id,3.0987859
cifar10_train_id,2.7890258
cifar10_train_id,2.9365838
cifar10_train_id,2.4267159
cifar10_train_id,2.6232793
cifar10_train_id,4.3748884
cifar10_train_id,3.3223567
cifar10_train_id,2.6046839
cifar10_train_id,3.0408797
cifar10_train_id,2.6385007
cifar10_train_id,3.2161107
cifar10_train_id,5.6578503
cifar10_train_id,2.5418408
cifar10_train_id,2.7481115
cifar10_train_id,3.5162623
cifar10_train_id,2.417574
cifar10_train_id,5.346044
cifar10_train_id,3.1873505
cifar10_train_id,2.484096
cifar10_train_id,3.793355
cifar10_train_id,2.8037987
cifar10_train_id,2.9504597
cifar10_train_id,2.8956351
cifar10_train_id,2.5831976
cifar10_train_id,3.838444
cifar10_train_id,2.857621
cifar10_train_id,3.3029227
cifar10_train_id,4.1693783
cifar10_train_id,3.545313
cifar10_train_id,2.4372811
cifar10_train_id,2.472599
cifar10_train_id,2.6577787
cifar10_train_id,2.8392816
cifar10_train_id,3.2684736
cifar10_train_id,4.104022
cifar10_train_id,4.4991026
cifar10_train_id,3.3411858
cifar10_train_id,2.4904032
cifar10_train_id,2.7680085
cifar10_train_id,4.777409
cifar10_train_id,2.382766
cifar10_train_id,5.026626
cifar10_train_id,2.7517242
cifar10_train_id,2.4321885
cifar10_train_id,2.9505792
cifar10_train_id,3.2314548
cifar10_train_id,2.5372875
cifar10_train_id,2.4551287
cifar10_train_id,2.9089
cifar10_train_id,2.8014445
cifar10_train_id,3.246335
cifar10_train_id,3.410808
cifar10_train_id,3.299301
cifar10_train_id,2.816276
cifar10_train_id,2.5451155
cifar10_train_id,4.4232006
cifar10_train_id,2.990887
cifar10_train_id,4.1463523
cifar10_train_id,2.3622549
cifar10_train_id,4.3252745
cifar10_train_id,3.8395495
cifar10_train_id,3.3770084
cifar10_train_id,3.6774635
cifar10_train_id,2.4922075
cifar10_train_id,3.713581
cifar10_train_id,3.3266134
cifar10_train_id,3.406751
cifar10_train_id,3.2118213
cifar10_train_id,3.7283468
cifar10_train_id,3.3993585
cifar10_train_id,2.9723516
cifar10_train_id,2.9482105
cifar10_train_id,3.7346375
cifar10_train_id,2.552288
cifar10_train_id,3.67864
cifar10_train_id,2.443986
cifar10_train_id,3.2648256
cifar10_train_id,2.6919098
cifar10_train_id,3.737113
cifar10_train_id,3.2986143
cifar10_train_id,3.5016031
cifar10_train_id,2.8998773
cifar10_train_id,3.325068
cifar10_train_id,3.437442
cifar10_train_id,3.4199932
cifar10_train_id,3.1319754
cifar10_train_id,3.066214
cifar10_train_id,2.4900641
cifar10_train_id,3.5029263
cifar10_train_id,2.5746994
cifar10_train_id,3.003399
cifar10_train_id,4.165955
cifar10_train_id,3.8761353
cifar10_train_id,2.6546397
cifar10_train_id,4.1257186
cifar10_train_id,2.5688443
cifar10_train_id,2.5781956
cifar10_train_id,2.7014923
cifar10_train_id,2.41641
cifar10_train_id,2.9120777
cifar10_train_id,2.617668
cifar10_train_id,2.4774694
cifar10_train_id,2.4365184
cifar10_train_id,3.2909765
cifar10_train_id,3.1907682
cifar10_train_id,2.6458964
cifar10_train_id,2.7212603
cifar10_train_id,2.548499
cifar10_train_id,2.4711404
cifar10_train_id,2.351563
cifar10_train_id,5.33607
cifar10_train_id,2.8167403
cifar10_train_id,3.375957
cifar10_train_id,3.0845585
cifar10_train_id,3.3888633
cifar10_train_id,2.4275098
cifar10_train_id,4.561921
cifar10_train_id,2.8577347
cifar10_train_id,2.4489849
cifar10_train_id,2.4991803
cifar10_train_id,2.7927835
cifar10_train_id,2.52194
cifar10_train_id,3.1035829
cifar10_train_id,2.512886
