arm,cls,rows,from_early,time_min,time_median,time_max
early_natural,backdoor,739,739,1556437691325,1556456709467.0,1556474018154
early_natural,benign,61018,61018,1556028590683,1556035729632.5,1556040409777
early_natural,ddos,15048,15048,1556203758083,1556217037323.5,1556224390128
early_natural,dos,739,739,1556129648948,1556135383326.0,1556139887771
early_natural,injection,1387,1387,1556171396490,1556176499099.0,1556177925620
early_natural,mitm,22,22,1556540442784,1556540663342.5,1556542095540
early_natural,password,5795,5795,1556286404425,1556298620884.0,1556305804769
early_natural,ransomware,14,14,1556424181593,1556425249593.5,1556425511863
early_natural,scanning,4938,4938,1556028592651,1556029341324.5,1556076229642
early_natural,xss,10300,10300,1556340862444,1556346088429.5,1556350473447
full_natural,backdoor,739,373,1556437950074,1556473044454.0,1556500628400
full_natural,benign,61018,30635,1556028590663,1556040251254.5,1556222217223
full_natural,ddos,15048,7550,1556203758203,1556224354161.5,1556236766635
full_natural,dos,739,366,1556129714723,1556139993490.0,1556148746095
full_natural,injection,1387,655,1556171555031,1556177997170.0,1556181575732
full_natural,mitm,22,9,1556540474842,1556542656311.5,1556542679653
full_natural,password,5795,2867,1556286417766,1556305909425.0,1556321074557
full_natural,ransomware,14,9,1556424128347,1556425487548.5,1556427394083
full_natural,scanning,4938,2471,1556028591365,1556076229370.0,1556079433418
full_natural,xss,10300,5203,1556340862613,1556350402271.5,1556358394137
early_legacy,backdoor,3144,3144,1556436855349,1556455670947.5,1556474018154
early_legacy,benign,75000,75000,1556028590683,1556035730357.5,1556040409777
early_legacy,ddos,3144,3144,1556203758187,1556217185707.5,1556224389724
early_legacy,dos,3144,3144,1556129624566,1556135378948.5,1556139891688
early_legacy,injection,3144,3144,1556171396490,1556176516857.5,1556177929640
early_legacy,mitm,1803,1803,1556540442076,1556540731027.0,1556542126843
early_legacy,password,3144,3144,1556286404425,1556298673797.5,1556305801460
early_legacy,ransomware,1191,1191,1556423393081,1556425054940.0,1556425706627
early_legacy,scanning,3143,3143,1556028592651,1556029354391.0,1556076229642
early_legacy,xss,3143,3143,1556340862644,1556346077952.0,1556350470897
full_legacy,backdoor,3144,1556,1556436599094,1556474487824.0,1556500675071
full_legacy,benign,75000,37667,1556028590663,1556040243419.5,1556222217737
full_legacy,ddos,3144,1559,1556203761079,1556224491099.0,1556236755537
full_legacy,dos,3144,1581,1556129624563,1556139854915.0,1556148746095
full_legacy,injection,3144,1521,1556171532593,1556177990028.5,1556181575732
full_legacy,mitm,1803,890,1556540442783,1556542127114.0,1556542686642
full_legacy,password,3144,1537,1556286441791,1556306055640.5,1556321066831
full_legacy,ransomware,1191,579,1556424047759,1556425794255.0,1556427562882
full_legacy,scanning,3143,1571,1556028591365,1556076229754.0,1556079433418
full_legacy,xss,3143,1593,1556340864263,1556350356287.0,1556358387781
