class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
normal,413933,DoS_Like_Known,0.0004300213,0.0003575458,0.0006771087,-0.003359188
normal,413933,Credential_Web_Like_Known,0.0006861014,0.00046867487,0.00077087095,0.0003420203
normal,413933,Rare_Fallback_Known,0.00096633995,0.00018118875,0.0010160294,0.0021188904
portscan,158804,DoS_Like_Known,0.00035893303,0.0002770711,0.0023086008,-0.01708272
portscan,158804,Credential_Web_Like_Known,0.0030037027,0.0027518198,0.0032202355,0.0032383131
portscan,158804,Rare_Fallback_Known,0.0033563387,0.00034004182,0.0033856262,0.007842416
ddos,128025,DoS_Like_Known,0.18453427,0.18449521,0.4687722,-1.515176
ddos,128025,Credential_Web_Like_Known,0.21133372,0.19739114,0.59233195,-0.023918537
ddos,128025,Rare_Fallback_Known,0.6379301,0.25604373,0.63463336,3.664341
bot,1956,DoS_Like_Known,0.0,0.0,0.0,0.0
bot,1956,Credential_Web_Like_Known,0.0,0.0,0.0,0.0
bot,1956,Rare_Fallback_Known,0.0,0.0,0.0,0.0
