Class,Expert_Ensemble_Accuracy,Expert_Ensemble_F1
BENIGN,0.9858317206896198,0.9880285702732409
Bot,0.5838607594936709,0.5918203688853247
DDoS,0.9792548357782682,0.9886627259263143
DoS GoldenEye,0.9672346002621232,0.6146158650843223
DoS Hulk,0.9639203719848881,0.9557543798985708
DoS Slowhttptest,0.0,0.0
DoS slowloris,0.0,0.0
FTP-Patator,0.9382716049382716,0.9418803418803419
Heartbleed,0.0,0.0
Infiltration,0.0,0.0
PortScan,0.9544490413087763,0.9239370190792751
SSH-Patator,0.9547325102880658,0.9444605990113405
Web Attack � Brute Force,0.04139433551198257,0.07883817427385892
Web Attack � Sql Injection,0.0,0.0
Web Attack � XSS,0.0,0.0
