target,unseen,expert,non_owned_known_attack_fpr95,unseen_fpr95,benign_fpr95
bot_iot,ddos,flood,0.0,0.88874,0.0
bot_iot,ddos,recon,0.0213011971332595,0.00314,0.7865510011733251
bot_iot,ddos,theft,0.520285,0.98243,0.1969647425416915
bot_iot,dos,flood,0.0,0.946,0.0
bot_iot,dos,recon,0.0059906501998544,0.01997,0.7764911808267133
bot_iot,dos,theft,0.521715,0.97917,0.197964954124911
bot_iot,reconnaissance,flood,0.0,0.00014,0.0215237838773586
bot_iot,reconnaissance,theft,0.985005,0.879,0.7863586527919367
cse_cic_ids2018,bot,brute_force,0.106222387714231,0.0,0.0
cse_cic_ids2018,bot,flood,0.4867091356594759,0.0,0.00048
cse_cic_ids2018,bot,tail,0.0,0.0154783111068316,0.70219
cse_cic_ids2018,ddos,brute_force,0.150489035900653,0.0,0.0
cse_cic_ids2018,ddos,flood,0.3742166716755156,0.00907,0.00431
cse_cic_ids2018,ddos,tail,0.0,0.62537,0.7618
cse_cic_ids2018,ddos+dos,brute_force,0.0,0.1314494937544366,0.0
cse_cic_ids2018,ddos+dos,tail,0.0,0.388594841650373,0.73467
cse_cic_ids2018,dos,brute_force,0.0,0.3483843284813678,0.0
cse_cic_ids2018,dos,flood,0.0,0.0,0.0
cse_cic_ids2018,dos,tail,0.0,0.1309040499059312,0.75818
ton_iot,injection,application,0.0065211323815957,0.4848472942532348,0.13607
ton_iot,injection,flood,0.007225463045375,0.3336607470270836,0.27104
ton_iot,injection,probe_access,0.3825541961188415,0.5176934360102677,0.82517
ton_iot,injection,stealth_malware,0.0,0.0,0.0
ton_iot,injection+xss,flood,0.0006593125842168,0.1953832021592687,0.05666
ton_iot,injection+xss,probe_access,0.3504245537686304,0.94819002472272,0.98154
ton_iot,injection+xss,stealth_malware,0.0,0.0,0.0
ton_iot,password,application,0.0129971874128786,0.69747,0.14008
ton_iot,password,flood,0.0145345465829553,0.07889,0.26354
ton_iot,password,probe_access,0.0984307457085273,0.54616,0.90527
ton_iot,password,stealth_malware,0.0,0.0,0.0
ton_iot,password+scanning,application,0.0198016022337472,0.3662,0.17317
ton_iot,password+scanning,flood,0.0214853469568512,0.04785,0.20531
ton_iot,password+scanning,stealth_malware,0.0,0.0,0.0
ton_iot,scanning,application,0.0158309483394443,0.02646,0.17533
ton_iot,scanning,flood,0.0146129083825184,0.00685,0.26759
ton_iot,scanning,probe_access,3.057891444853708e-05,0.00017,0.00675
ton_iot,scanning,stealth_malware,0.0,0.0,0.0
ton_iot,xss,application,0.0152229314315972,0.50431,0.24018
ton_iot,xss,flood,0.0062532716051317,0.13787,0.07843
ton_iot,xss,probe_access,0.3299797863124458,0.71441,0.83155
ton_iot,xss,stealth_malware,0.0,0.0,0.0
