class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
airplane,1744,Vehicle_Primary,0.9254587,0.76892203,0.9566965,0.98651814
airplane,1744,Animal_Primary,0.9162844,0.21559633,0.8162542,0.70469874
airplane,1744,Rare_Fallback,0.95183486,0.0017201835,0.73814946,0.58673847
automobile,5099,Vehicle_Primary,0.9672485,0.8682095,0.970471,1.5160528
automobile,5099,Animal_Primary,0.93430084,0.106883705,0.8217603,0.779619
automobile,5099,Rare_Fallback,0.94332224,0.001765052,0.7430526,0.6828789
bird,4149,Vehicle_Primary,0.93010366,0.7657267,0.94667774,1.0660766
bird,4149,Animal_Primary,0.92287296,0.19715594,0.8019423,0.7451007
bird,4149,Rare_Fallback,0.9346831,0.0016871535,0.7310935,0.6290658
cat,2882,Vehicle_Primary,0.9125607,0.7324774,0.9425025,1.0565983
cat,2882,Animal_Primary,0.92435807,0.23907009,0.82043433,0.763409
cat,2882,Rare_Fallback,0.9326856,0.0017349063,0.73779535,0.65112853
deer,2523,Vehicle_Primary,0.94609594,0.8156956,0.95546633,1.2136645
deer,2523,Animal_Primary,0.89298457,0.150218,0.8127201,0.650767
deer,2523,Rare_Fallback,0.93024176,0.00039635354,0.73390275,0.66294503
dog,2384,Vehicle_Primary,0.88255036,0.6828859,0.92507565,0.9807006
dog,2384,Animal_Primary,0.91191274,0.27432886,0.81998086,0.77911675
dog,2384,Rare_Fallback,0.9307886,0.0029362417,0.73023385,0.6362097
frog,1977,Vehicle_Primary,0.86393523,0.6818412,0.9259242,0.9334503
frog,1977,Animal_Primary,0.90895295,0.28174,0.81870764,0.7809262
frog,1977,Rare_Fallback,0.94081944,0.0070814365,0.73945147,0.63475984
horse,2019,Vehicle_Primary,0.9470035,0.8048539,0.955388,1.3642495
horse,2019,Animal_Primary,0.9118375,0.15700842,0.8098237,0.7812324
horse,2019,Rare_Fallback,0.93561167,0.0019811788,0.73791426,0.67472357
ship,1660,Vehicle_Primary,0.89457834,0.7186747,0.93986374,0.9675387
ship,1660,Animal_Primary,0.93012047,0.25903615,0.82176644,0.82182485
ship,1660,Rare_Fallback,0.9469879,0.0024096386,0.73524636,0.6024332
truck,1595,Vehicle_Primary,0.9047022,0.74545455,0.9464812,1.0050193
truck,1595,Animal_Primary,0.9398119,0.23573668,0.80626714,0.7910604
truck,1595,Rare_Fallback,0.95485896,0.002507837,0.7419667,0.6070436
