split,cls,rows
train,backdoor,60000
train,benign,60000
train,ddos,60000
train,dos,60000
train,injection,60000
train,mitm,3607
train,password,60000
train,ransomware,2382
train,scanning,60000
train,xss,60000
val,backdoor,20000
val,benign,20000
val,ddos,20000
val,dos,20000
val,injection,20000
val,mitm,1202
val,password,20000
val,ransomware,794
val,scanning,20000
val,xss,20000
test,backdoor,20000
test,benign,20000
test,ddos,20000
test,dos,20000
test,injection,20000
test,mitm,1204
test,password,20000
test,ransomware,795
test,scanning,20000
test,xss,20000
