expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,ddos,target known,ddos,99462,100000,0.99462
flood,ddos,target known,dos,76,100000,0.00076
flood,dos,target known,dos,36842,40692,0.9053868082178315
flood,injection,target known,ddos,1326,76356,0.017366022316517366
flood,injection,target known,dos,1494,76356,0.019566242338519568
flood,mitm,target known,ddos,6,1204,0.0049833887043189366
flood,mitm,target known,dos,14,1204,0.011627906976744186
flood,ransomware,target known,ddos,26,795,0.03270440251572327
flood,scanning,target known,ddos,352,100000,0.00352
flood,scanning,target known,dos,12,100000,0.00012
flood,xss,target known,ddos,529,100000,0.00529
flood,xss,target known,dos,3201,100000,0.03201
flood,unseen::password,target unseen,ddos,7923,100000,0.07923
flood,unseen::password,target unseen,dos,3,100000,3e-05
flood,benign_diagnostic,benign diagnostic,ddos,16871,100000,0.16871
flood,benign_diagnostic,benign diagnostic,dos,10046,100000,0.10046
probe_access,ddos,target known,scanning,1,100000,1e-05
probe_access,injection,target known,scanning,3,76356,3.928964325003929e-05
probe_access,ransomware,target known,scanning,2,795,0.0025157232704402514
probe_access,scanning,target known,scanning,42536,100000,0.42536
probe_access,xss,target known,scanning,23,100000,0.00023
probe_access,unseen::password,target unseen,scanning,15479,100000,0.15479
probe_access,benign_diagnostic,benign diagnostic,scanning,40522,100000,0.40522
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,200,100000,0.002
application,ddos,target known,xss,950,100000,0.0095
application,dos,target known,injection,1,40692,2.457485500835545e-05
application,dos,target known,xss,4640,40692,0.1140273272387693
application,injection,target known,injection,69526,76356,0.9105505788674105
application,injection,target known,xss,2582,76356,0.03381528629053381
application,mitm,target known,xss,5,1204,0.004152823920265781
application,ransomware,target known,xss,35,795,0.0440251572327044
application,scanning,target known,injection,19,100000,0.00019
application,scanning,target known,xss,99,100000,0.00099
application,xss,target known,injection,381,100000,0.00381
application,xss,target known,xss,97304,100000,0.97304
application,unseen::password,target unseen,injection,71779,100000,0.71779
application,unseen::password,target unseen,xss,833,100000,0.00833
application,benign_diagnostic,benign diagnostic,injection,283,100000,0.00283
application,benign_diagnostic,benign diagnostic,xss,13785,100000,0.13785
stealth_malware,backdoor,target known,backdoor,40546,40678,0.9967550027041644
