expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,98544,100000,0.98544
flood,ddos,target known,dos,117,100000,0.00117
flood,dos,target known,ddos,1,40692,2.457485500835545e-05
flood,dos,target known,dos,36378,40692,0.8939840754939545
flood,mitm,target known,ddos,1,1204,0.0008305647840531562
flood,mitm,target known,dos,1,1204,0.0008305647840531562
flood,password,target known,ddos,14,100000,0.00014
flood,password,target known,dos,2,100000,2e-05
flood,ransomware,target known,ddos,27,795,0.033962264150943396
flood,scanning,target known,ddos,138,100000,0.00138
flood,scanning,target known,dos,8,100000,8e-05
flood,unseen::xss,target unseen,ddos,11401,100000,0.11401
flood,unseen::xss,target unseen,dos,9713,100000,0.09713
flood,unseen::injection,target unseen,ddos,13732,76356,0.17984179370317985
flood,unseen::injection,target unseen,dos,1254,76356,0.016423070878516424
flood,benign_diagnostic,benign diagnostic,ddos,5084,100000,0.05084
flood,benign_diagnostic,benign diagnostic,dos,676,100000,0.00676
probe_access,ddos,target known,password,19,100000,0.00019
probe_access,password,target known,password,92752,100000,0.92752
probe_access,scanning,target known,scanning,41785,100000,0.41785
probe_access,scanning,target known,password,3,100000,3e-05
probe_access,unseen::xss,target unseen,scanning,30,100000,0.0003
probe_access,unseen::xss,target unseen,password,7195,100000,0.07195
probe_access,unseen::injection,target unseen,scanning,3,76356,3.928964325003929e-05
probe_access,unseen::injection,target unseen,password,16854,76356,0.22072921577872073
probe_access,benign_diagnostic,benign diagnostic,scanning,36464,100000,0.36464
probe_access,benign_diagnostic,benign diagnostic,password,1057,100000,0.01057
stealth_malware,backdoor,target known,backdoor,40562,40678,0.9971483357097203
