class,bank_correctable,candidate_H_before_call_gate,candidate_D_before_call_gate,called_H,called_D,accepted_H,accepted_D,scorer_recovery,verifier_help_retention,verifier_harm_pass
ALL,71755,59767,110912,25158,992,24975,517,0.35060971360880777,0.9927259718578584,0.5211693548387096
backdoor,24,20,0,2,0,2,0,0.08333333333333333,1.0,
benign,23715,20492,109133,0,992,0,517,0.0,,0.5211693548387096
ddos,3155,2972,1072,805,0,804,0,0.2551505546751189,0.9987577639751553,
dos,353,183,0,35,0,4,0,0.09915014164305949,0.11428571428571428,
injection,2548,723,83,100,0,94,0,0.03924646781789639,0.94,
mitm,93,84,1,0,0,0,0,0.0,,
password,377,231,142,0,0,0,0,0.0,,
ransomware,37,12,0,0,0,0,0,0.0,,
scanning,5010,4906,3,3818,0,3793,0,0.7620758483033933,0.9934520691461498,
xss,36443,30144,478,20398,0,20278,0,0.559723403671487,0.9941170703010099,
