Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
BENIGN,0.9895640714063482,0.9914257336794505,0.990601647206617,0.9924528579305275
Bot,0.37649063032367974,0.5410036719706243,0.36115843270868825,0.5247524752475248
DDoS,0.9907310976879816,0.9949015609067378,0.9988804415746719,0.9985424637567997
DoS GoldenEye,0.971178756476684,0.981508754704631,0.9818652849740933,0.9871398339573498
DoS Hulk,0.992482292104234,0.9829146882038188,0.9926705969262859,0.9888105733228485
DoS Slowhttptest,0.9715151515151516,0.9265895953757225,0.9866666666666667,0.9334862385321101
DoS slowloris,0.9677975848188615,0.9697493517718236,0.9856239217941346,0.9799885648942253
FTP-Patator,0.9827731092436974,0.9883794633424889,0.9903361344537815,0.9928390901432183
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.9462227912932138,0.9227667239826415,0.9521630528326441,0.9253396434254009
SSH-Patator,0.9773883550028265,0.9651130337705833,0.9836065573770492,0.975063042869151
Web Attack � Brute Force,0.061946902654867256,0.11522633744855967,0.10619469026548672,0.1893491124260355
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
