index,class_id,class,family,split_role,pca1,pca2,tsne1,tsne2
541063,6,ftp-patator,Credential,Known_Source,-1.7582632,-1.8436984,-30.3436,48.16666
541387,6,ftp-patator,Credential,Known_Source,-1.6955246,-1.7205613,-30.743168,47.87022
543438,6,ftp-patator,Credential,Known_Source,-0.7461601,2.9864507,76.72926,-53.222416
544232,6,ftp-patator,Credential,Known_Source,-1.6975777,-1.7210728,-30.297153,47.970966
544304,6,ftp-patator,Credential,Known_Source,-0.70682055,2.957825,76.31135,-54.00294
544334,6,ftp-patator,Credential,Known_Source,-0.680832,2.9356878,75.85616,-54.804688
544764,6,ftp-patator,Credential,Known_Source,-1.695489,-1.720552,-30.743153,47.86908
546592,6,ftp-patator,Credential,Known_Source,-0.68329304,2.9585998,77.37054,-54.56846
547126,6,ftp-patator,Credential,Known_Source,-1.9484482,-1.9310409,-29.370335,49.118233
547791,6,ftp-patator,Credential,Known_Source,-0.7088335,2.9605863,76.48285,-54.064754
548091,6,ftp-patator,Credential,Known_Source,-0.7205867,2.9756792,77.05043,-53.722393
548399,6,ftp-patator,Credential,Known_Source,-0.6946866,2.9491737,76.162186,-54.269802
548753,6,ftp-patator,Credential,Known_Source,-1.6965816,-1.720824,-30.636587,48.184654
549004,6,ftp-patator,Credential,Known_Source,-0.70978296,2.9600155,76.37108,-53.901085
549222,6,ftp-patator,Credential,Known_Source,-1.6964034,-1.7207795,-30.639282,48.184082
550178,6,ftp-patator,Credential,Known_Source,-0.6867114,2.9409475,75.891396,-54.467236
550669,6,ftp-patator,Credential,Known_Source,-0.68563384,2.941091,75.95697,-54.514942
551641,6,ftp-patator,Credential,Known_Source,-1.7557601,-1.8425499,-30.395567,48.192276
553220,6,ftp-patator,Credential,Known_Source,-0.71386284,2.9745653,77.229614,-53.80775
553744,6,ftp-patator,Credential,Known_Source,-0.69765496,2.9543326,76.5116,-54.299755
554513,6,ftp-patator,Credential,Known_Source,-0.7216443,2.9619842,75.98251,-53.631794
555973,6,ftp-patator,Credential,Known_Source,-2.018515,-1.9632214,-29.26707,49.205185
556586,6,ftp-patator,Credential,Known_Source,-0.67132705,2.9361734,76.29935,-54.99474
559377,6,ftp-patator,Credential,Known_Source,-1.6976894,-1.7211002,-30.296888,47.971195
559884,6,ftp-patator,Credential,Known_Source,-1.6974694,-1.7210456,-30.297438,47.970753
560570,6,ftp-patator,Credential,Known_Source,-1.6958648,-1.7206457,-30.743391,47.896328
560852,6,ftp-patator,Credential,Known_Source,-0.69219285,2.9528437,76.65528,-54.366295
561033,6,ftp-patator,Credential,Known_Source,-1.6972587,-1.7209932,-30.297907,47.97034
561501,6,ftp-patator,Credential,Known_Source,-1.9484482,-1.9310409,-29.370335,49.118233
561978,6,ftp-patator,Credential,Known_Source,-1.6955237,-1.7205615,-30.743164,47.87021
563815,6,ftp-patator,Credential,Known_Source,-0.6926029,2.9502642,76.41792,-54.453922
565554,6,ftp-patator,Credential,Known_Source,-0.7139047,2.9589307,76.06852,-53.796432
565701,6,ftp-patator,Credential,Known_Source,-0.69157636,2.946507,76.12002,-54.440437
565878,6,ftp-patator,Credential,Known_Source,-0.72002816,2.963227,76.14582,-53.682274
567960,6,ftp-patator,Credential,Known_Source,-0.7207884,2.970661,76.70554,-53.588856
568053,6,ftp-patator,Credential,Known_Source,-2.0185149,-1.9632212,-29.267073,49.205185
571092,6,ftp-patator,Credential,Known_Source,-0.70161325,2.9545877,76.310875,-54.130424
572191,6,ftp-patator,Credential,Known_Source,-0.658419,2.9260411,76.143135,-55.246063
572639,6,ftp-patator,Credential,Known_Source,-1.7561333,-1.8427209,-30.385338,48.186977
573855,6,ftp-patator,Credential,Known_Source,-1.6966262,-1.7208356,-30.636082,48.184776
574310,6,ftp-patator,Credential,Known_Source,-1.9484482,-1.9310409,-29.370335,49.118233
574472,6,ftp-patator,Credential,Known_Source,-1.6947285,-1.7203635,-30.742506,47.85477
574601,6,ftp-patator,Credential,Known_Source,-1.6956354,-1.7205886,-30.743042,47.874268
575697,6,ftp-patator,Credential,Known_Source,-0.6596605,2.9288504,76.25431,-55.242546
575811,6,ftp-patator,Credential,Known_Source,-0.6713999,2.9323027,76.05844,-55.065113
577099,6,ftp-patator,Credential,Known_Source,-0.700866,2.9540725,76.30567,-54.241634
577468,6,ftp-patator,Credential,Known_Source,-0.6814531,2.9376214,75.95346,-54.79151
577940,6,ftp-patator,Credential,Known_Source,-0.7110755,2.9595444,76.22307,-54.00223
578823,6,ftp-patator,Credential,Known_Source,-1.6956736,-1.7205979,-30.74304,47.875988
579113,6,ftp-patator,Credential,Known_Source,-0.69138306,2.9459846,76.08811,-54.43071
579503,6,ftp-patator,Credential,Known_Source,-1.6970559,-1.7209426,-30.631311,48.185825
581482,6,ftp-patator,Credential,Known_Source,-1.6969095,-1.7209057,-30.632832,48.185528
581659,6,ftp-patator,Credential,Known_Source,-0.7027792,2.954106,76.18138,-54.21621
581890,6,ftp-patator,Credential,Known_Source,-0.7142831,2.964179,76.507286,-53.729897
582024,6,ftp-patator,Credential,Known_Source,-0.6433977,2.914435,76.084145,-55.48564
582705,6,ftp-patator,Credential,Known_Source,-1.7550596,-1.8422283,-30.4609,48.228897
584168,6,ftp-patator,Credential,Known_Source,-2.0185149,-1.9632212,-29.267073,49.205185
585994,6,ftp-patator,Credential,Known_Source,-0.6815749,2.9411805,76.21729,-54.90849
586512,6,ftp-patator,Credential,Known_Source,-0.6640058,2.935353,76.541565,-55.090263
587613,6,ftp-patator,Credential,Known_Source,-1.9484482,-1.9310409,-29.370335,49.118233
590198,6,ftp-patator,Credential,Known_Source,-1.9484482,-1.9310409,-29.370335,49.118233
594169,6,ftp-patator,Credential,Known_Source,-1.7590655,-1.4110092,-30.474195,47.474464
594434,6,ftp-patator,Credential,Known_Source,-0.7355088,2.978503,76.62525,-53.408398
595007,6,ftp-patator,Credential,Known_Source,-1.6954522,-1.7205434,-30.743273,47.868225
595458,6,ftp-patator,Credential,Known_Source,-1.6954516,-1.7205435,-30.743204,47.868145
595488,6,ftp-patator,Credential,Known_Source,-0.7271037,2.9697325,76.321335,-53.61216
701641,11,ssh-patator,Credential,Known_Source,-2.2623563,-0.63703144,-35.349,36.841133
704365,11,ssh-patator,Credential,Known_Source,2.7676027,7.6752567,82.49932,-57.61903
704420,11,ssh-patator,Credential,Known_Source,-2.248604,-0.63424504,-35.60626,37.306385
714490,11,ssh-patator,Credential,Known_Source,2.689209,7.401136,82.3457,-57.651787
714963,11,ssh-patator,Credential,Known_Source,-2.2424657,-0.63300234,-35.918217,37.001
716533,11,ssh-patator,Credential,Known_Source,-2.2501764,-0.6345577,-35.476517,37.240993
716923,11,ssh-patator,Credential,Known_Source,-2.2416952,-0.63284653,-35.921318,36.94552
717786,11,ssh-patator,Credential,Known_Source,-2.250541,-0.6346373,-35.61995,36.762566
718205,11,ssh-patator,Credential,Known_Source,-2.2483103,-0.63418543,-35.627243,37.310463
