expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,backdoor,target known,dos,4,40678,9.833325138895717e-05
flood,ddos,target known,ddos,99589,100000,0.99589
flood,ddos,target known,dos,97,100000,0.00097
flood,dos,target known,ddos,1,40692,2.457485500835545e-05
flood,dos,target known,dos,36876,40692,0.9062223532881156
flood,mitm,target known,ddos,20,1204,0.016611295681063124
flood,mitm,target known,dos,94,1204,0.07807308970099668
flood,password,target known,ddos,68,100000,0.00068
flood,password,target known,dos,33,100000,0.00033
flood,ransomware,target known,ddos,34,795,0.042767295597484274
flood,scanning,target known,ddos,310,100000,0.0031
flood,scanning,target known,dos,85,100000,0.00085
flood,xss,target known,ddos,882,100000,0.00882
flood,xss,target known,dos,3090,100000,0.0309
flood,unseen::injection,target unseen,ddos,27298,76356,0.3575095604798575
flood,unseen::injection,target unseen,dos,8462,76356,0.11082298706061082
flood,benign_diagnostic,benign diagnostic,ddos,25420,100000,0.2542
flood,benign_diagnostic,benign diagnostic,dos,13054,100000,0.13054
probe_access,backdoor,target known,password,4,40678,9.833325138895717e-05
probe_access,ddos,target known,password,10,100000,0.0001
probe_access,password,target known,password,97429,100000,0.97429
probe_access,scanning,target known,scanning,38886,100000,0.38886
probe_access,scanning,target known,password,35,100000,0.00035
probe_access,xss,target known,password,4,100000,4e-05
probe_access,unseen::injection,target unseen,password,1143,76356,0.01496935407826497
probe_access,benign_diagnostic,benign diagnostic,scanning,41242,100000,0.41242
probe_access,benign_diagnostic,benign diagnostic,password,771,100000,0.00771
application,backdoor,target known,xss,14,40678,0.00034416637986135014
application,ddos,target known,xss,641,100000,0.00641
application,dos,target known,xss,2470,40692,0.06069989187063796
application,mitm,target known,xss,16,1204,0.013289036544850499
application,password,target known,xss,127,100000,0.00127
application,ransomware,target known,xss,3,795,0.0037735849056603774
application,scanning,target known,xss,96,100000,0.00096
application,xss,target known,xss,95618,100000,0.95618
application,unseen::injection,target unseen,xss,42581,76356,0.5576640997433077
application,benign_diagnostic,benign diagnostic,xss,19562,100000,0.19562
stealth_malware,backdoor,target known,backdoor,40556,40678,0.9970008358326368
