index,class_id,class,family,split_role,pca1,pca2,tsne1,tsne2
82,9,normal,Normal,Known_Source,-2.4768412,0.040116,75.176025,7.5097785
176,9,normal,Normal,Known_Source,2.0152514,0.5522237,56.74286,47.506355
717,9,normal,Normal,Known_Source,-0.61193454,0.120742895,39.635727,35.65062
1198,9,normal,Normal,Known_Source,0.48958436,0.05423629,38.373653,47.610004
1246,9,normal,Normal,Known_Source,-1.7275083,-0.035857916,-81.960754,-27.15614
1294,9,normal,Normal,Known_Source,-1.3082671,-0.011102386,10.790159,18.637224
1591,9,normal,Normal,Known_Source,-1.6789647,0.020461125,-60.7663,71.97923
2483,9,normal,Normal,Known_Source,2.5116732,1.2869096,14.906059,21.685648
2765,9,normal,Normal,Known_Source,-1.2913284,-0.013463706,10.78632,18.636295
3237,9,normal,Normal,Known_Source,0.5744395,0.050806206,36.062504,48.741844
3338,9,normal,Normal,Known_Source,-1.8661741,-0.009501141,5.195244,-29.02451
3629,9,normal,Normal,Known_Source,-1.8398786,-0.010815798,6.2721496,-1.9171753
3911,9,normal,Normal,Known_Source,-1.6962461,0.013764597,-60.912937,72.3557
3949,9,normal,Normal,Known_Source,1.7706958,-0.19694133,11.9110775,51.296192
4043,9,normal,Normal,Known_Source,2.3060462,0.13998584,12.6099825,42.645763
4329,9,normal,Normal,Known_Source,7.6037016,0.5093503,-14.444591,50.732147
4770,9,normal,Normal,Known_Source,-2.4091785,0.06453038,79.952415,10.938441
5312,9,normal,Normal,Known_Source,0.1855429,0.630217,37.038418,23.84771
6151,9,normal,Normal,Known_Source,-1.8025283,0.0015076104,69.27283,-13.370353
6341,9,normal,Normal,Known_Source,-1.819529,-0.01820254,-15.260068,-19.62745
6741,9,normal,Normal,Known_Source,-1.7588637,0.019939737,53.47411,-1.6207752
7124,9,normal,Normal,Known_Source,-1.8277582,-0.017496426,-40.9418,3.2967515
7465,9,normal,Normal,Known_Source,-0.6554711,-0.25798467,-53.824265,39.695095
8470,9,normal,Normal,Known_Source,-1.8531106,-0.01252959,-6.7944775,-21.383158
8842,9,normal,Normal,Known_Source,-1.8534596,-0.011699636,0.87641233,-26.40572
9285,9,normal,Normal,Known_Source,-1.7326243,-0.030112384,2.1740348,-34.851177
9364,9,normal,Normal,Known_Source,-0.904114,0.032930147,32.65006,9.817855
9559,9,normal,Normal,Known_Source,-1.8880804,0.046888076,-16.56341,-98.049644
9669,9,normal,Normal,Known_Source,0.21650818,0.10106561,29.862715,46.194782
9788,9,normal,Normal,Known_Source,8.038412,-0.5627831,-23.24342,51.273758
10585,9,normal,Normal,Known_Source,2.8265665,-0.11382235,-7.4015045,34.807842
11605,9,normal,Normal,Known_Source,-1.8460944,-0.013860619,-20.34359,-20.091244
11660,9,normal,Normal,Known_Source,2.3990993,-0.14685547,-11.819844,33.49757
12058,9,normal,Normal,Known_Source,-1.796816,-0.017265573,-16.959312,20.957676
12187,9,normal,Normal,Known_Source,-1.7363212,-0.032626428,-67.41659,-7.880956
12332,9,normal,Normal,Known_Source,16.31699,-3.2227352,-46.971043,53.04929
13448,9,normal,Normal,Known_Source,-1.1520567,0.24263127,50.33128,17.482271
13883,9,normal,Normal,Known_Source,9.75533,0.07709698,23.532581,59.771133
14118,9,normal,Normal,Known_Source,-0.4976496,0.104310244,50.50651,29.567108
14428,9,normal,Normal,Known_Source,-0.18951666,0.09843572,39.275974,44.804558
14431,9,normal,Normal,Known_Source,-0.49828583,0.10333308,50.511528,29.56894
14723,9,normal,Normal,Known_Source,-1.7939593,-0.022582185,-54.968437,6.2533746
15100,9,normal,Normal,Known_Source,2.8365347,-0.1257277,-1.4476444,30.909449
15427,9,normal,Normal,Known_Source,-1.0275899,0.11659384,34.289646,13.11313
15496,9,normal,Normal,Known_Source,7.681024,-0.43248555,-17.120508,52.134315
15796,9,normal,Normal,Known_Source,7.190186,-1.4970281,-34.078846,49.606693
15876,9,normal,Normal,Known_Source,-1.8254547,-0.011808544,-32.755432,13.397089
16033,9,normal,Normal,Known_Source,-1.8364525,-0.015763793,-36.436016,-11.857792
16288,9,normal,Normal,Known_Source,-0.9177624,0.2084253,65.706276,28.76871
16357,9,normal,Normal,Known_Source,-1.8367248,-0.015730366,-38.276066,-11.10369
17035,9,normal,Normal,Known_Source,-1.8492063,-0.009986144,-57.004303,-39.48663
