dataset,class,sample_count,expert,role,is_tail
ton_iot,benign,16792214,benign,benign expert ID (OOD=all known attacks),False
ton_iot,ddos,4141256,flood,target known: owner ID / non-owner OOD,False
ton_iot,xss,2834435,application,target unseen OOD,False
ton_iot,password,1594777,probe_access,target known: owner ID / non-owner OOD,False
ton_iot,scanning,1358977,probe_access,target known: owner ID / non-owner OOD,False
ton_iot,injection,381777,application,target known: owner ID / non-owner OOD,False
ton_iot,dos,203456,flood,target known: owner ID / non-owner OOD,False
ton_iot,backdoor,203384,stealth_malware,target known: owner ID / non-owner OOD,True
ton_iot,mitm,6013,stealth_malware,target known: owner ID / non-owner OOD,True
ton_iot,ransomware,3971,stealth_malware,target known: owner ID / non-owner OOD,True
bot_iot,dos,8034190,flood,external AUX source,False
bot_iot,ddos,7150882,flood,external AUX source,False
bot_iot,reconnaissance,1695132,recon,external AUX source,False
bot_iot,benign,51989,not evaluated,excluded benign,False
bot_iot,theft,1615,theft,external AUX source,True
cse_cic_ids2018,benign,17514626,not evaluated,excluded benign,False
cse_cic_ids2018,ddos,1324350,flood,external AUX source,False
cse_cic_ids2018,brute_force,575194,brute_force,external AUX source,False
cse_cic_ids2018,dos,302966,flood,external AUX source,False
cse_cic_ids2018,bot,207703,tail,external AUX source,True
cse_cic_ids2018,infiltration,188152,tail,external AUX source,True
cse_cic_ids2018,web_attacks,2538,tail,external AUX source,True
unsw_nb15,benign,2237731,not evaluated,excluded benign,False
unsw_nb15,exploits,42748,exploit_malware,external AUX source,False
unsw_nb15,fuzzers,33816,probe,external AUX source,False
unsw_nb15,generic,19651,volume,external AUX source,False
unsw_nb15,reconnaissance,17074,probe,external AUX source,False
unsw_nb15,dos,5980,volume,external AUX source,False
unsw_nb15,backdoor,4659,exploit_malware,external AUX source,True
unsw_nb15,shellcode,2381,exploit_malware,external AUX source,True
unsw_nb15,analysis,1226,probe,external AUX source,True
unsw_nb15,worms,158,exploit_malware,external AUX source,True
