Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1
BENIGN,1.0,0.890996865269328,0.9865124788546831,0.9901500392437516
Bot,0.0,0.0,0.33860759493670883,0.5
DDoS,0.0,0.0,0.9960275217447747,0.9912405364202476
DoS GoldenEye,0.0,0.0,0.9770642201834863,0.6533026618468617
DoS Hulk,0.0,0.0,0.9928799767509445,0.9701142897707106
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.0,0.0
FTP-Patator,0.0,0.0,0.9910600255427842,0.9708090075062552
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.9499548480584665,0.9239348012582214
SSH-Patator,0.0,0.0,0.9811875367430923,0.9602991944764097
Web Attack � Brute Force,0.0,0.0,0.04139433551198257,0.0794979079497908
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
