Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
BENIGN,1.0,0.8908540495594404,0.9881097041955045,0.9885384021888106
Bot,0.0,0.0,0.3543441226575809,0.5180572851805728
DDoS,0.0,0.0,0.9889606332014164,0.9940202813215571
DoS GoldenEye,0.0,0.0,0.9815414507772021,0.9845704076660712
DoS Hulk,0.0,0.0,0.9949157698045975,0.9769300790806167
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.0,0.0
FTP-Patator,0.0,0.0,0.9911764705882353,0.9905521730002099
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.9512604689238261,0.9242833688547158
SSH-Patator,0.0,0.0,0.9779536461277558,0.9592459107291378
Web Attack � Brute Force,0.0,0.0,0.06415929203539823,0.11934156378600823
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
