Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
Bot,0.9923273657289002,0.9961489088575096,0.9820971867007673,0.96
DDoS,0.9995313415348565,0.9992971769942602,0.9993751220464753,0.99910198344526
DoS GoldenEye,0.9878581835842642,0.9905040175310446,0.9771733851384167,0.9826617826617826
DoS Hulk,0.9999565453557849,0.9993594267412192,0.9989136338946225,0.9991524318685617
DoS Slowhttptest,0.9772727272727273,0.9750566893424036,0.9645454545454546,0.9511429852084267
DoS slowloris,0.9723899913718723,0.9498525073746312,0.9611734253666955,0.9436679373146971
FTP-Patator,0.9924385633270322,0.9946321439848437,0.9924385633270322,0.9958899778691116
Heartbleed,1.0,1.0,0.0,0.0
Infiltration,0.5714285714285714,0.7272727272727273,0.0,0.0
PortScan,0.9933881175025975,0.9966358682776594,0.9901451465633954,0.9949694687885595
SSH-Patator,0.9889830508474576,0.9753447555369829,0.988135593220339,0.9577002053388091
Web Attack � Brute Force,0.8874172185430463,0.6625463535228677,0.8973509933774835,0.584051724137931
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
