expert,active_owned_classes,score,ood_role,id_support,ood_support,auroc,aupr_id,fpr95
flood,"ddos,dos",maxsim,unseen,100000,509,0.9985,1.0,0.0079
flood,"ddos,dos",maxsim,aux,100000,50000,0.9975,0.9985,0.0094
flood,"ddos,dos",maxsim,non_owned_known_attack,100000,129173,0.8711,0.8775,0.2604
flood,"ddos,dos",maxsim,benign,100000,50000,0.9998,0.9999,0.0
flood,"ddos,dos",energy_head,unseen,100000,509,0.9993,1.0,0.0
flood,"ddos,dos",energy_head,aux,100000,50000,0.9987,0.9993,0.0074
flood,"ddos,dos",energy_head,non_owned_known_attack,100000,129173,0.8767,0.8853,0.2603
flood,"ddos,dos",energy_head,benign,100000,50000,1.0,1.0,0.0
brute_force,brute_force,maxsim,unseen,50000,509,0.0005,0.9533,1.0
brute_force,brute_force,maxsim,aux,50000,50000,0.0026,0.3071,1.0
brute_force,brute_force,maxsim,non_owned_known_attack,50000,179173,0.0644,0.1283,1.0
brute_force,brute_force,maxsim,benign,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,energy_head,unseen,50000,509,0.0,0.9532,1.0
brute_force,brute_force,energy_head,aux,50000,50000,0.0012,0.3069,1.0
brute_force,brute_force,energy_head,non_owned_known_attack,50000,179173,0.0637,0.1283,1.0
brute_force,brute_force,energy_head,benign,50000,50000,0.0,0.3069,1.0
tail,"bot,infiltration",maxsim,unseen,79170,509,0.9212,0.9994,0.2515
tail,"bot,infiltration",maxsim,aux,79170,50000,0.9642,0.9776,0.1748
tail,"bot,infiltration",maxsim,non_owned_known_attack,79170,150000,0.8338,0.8037,0.5866
tail,"bot,infiltration",maxsim,benign,79170,50000,0.7784,0.8774,0.7553
tail,"bot,infiltration",energy_head,unseen,79170,509,0.9152,0.9993,0.2711
tail,"bot,infiltration",energy_head,aux,79170,50000,0.9514,0.9706,0.2864
tail,"bot,infiltration",energy_head,non_owned_known_attack,79170,150000,0.8637,0.8431,0.5547
tail,"bot,infiltration",energy_head,benign,79170,50000,0.7553,0.858,0.7572
benign,benign,maxsim,unseen,50000,509,0.8247,0.9977,0.8939
benign,benign,maxsim,aux,50000,50000,0.712,0.7384,0.6733
benign,benign,maxsim,known_attack,50000,229173,0.6897,0.4471,0.9647
benign,benign,energy_head,unseen,50000,509,0.7551,0.9964,0.9057
benign,benign,energy_head,aux,50000,50000,0.6701,0.7032,0.6588
benign,benign,energy_head,known_attack,50000,229173,0.6205,0.3943,0.9627
