policy,class,support,f1,precision,recall,H,D
global,backdoor,40030,0.9987138986352342,0.9983773123299299,0.9990507119660255,0,0
global,benign,1474302,0.9060893350348432,0.9663306364849163,0.8529181945083165,0,0
global,ddos,103338,0.9732661003228354,0.9810066850176956,0.9656467127291025,0,0
global,dos,22458,0.9797652319731693,0.9839673058786546,0.9755988957164485,0,0
global,injection,68891,0.9287988219619943,0.898384405648476,0.9613447329839891,0,0
global,mitm,1161,0.04878832384798972,0.02506188848284805,0.9155900086132644,0,0
global,password,210951,0.8906812995118151,0.8047174755461706,0.9972078823992302,0,0
global,ransomware,709,0.13980582524271845,0.0756920920453218,0.9139633286318759,0,0
global,scanning,6029,0.15120170368116823,0.9119266055045872,0.08243489799303368,0,0
global,xss,343854,0.8035829808410052,0.7309293970783026,0.8922740465430096,0,0
regime_route,backdoor,40030,0.997979898745542,0.9963151080569664,0.9996502623032726,24,0
regime_route,benign,1474302,0.8933973469746508,0.9984158113919162,0.8083689773194366,21918,87597
regime_route,ddos,103338,0.9673398896617894,0.9591768779968034,0.9756430354758172,1992,959
regime_route,dos,22458,0.9768435895741071,0.9668105892101705,0.9870870068572446,258,0
regime_route,injection,68891,0.9012709547497433,0.8335491828553808,0.9809699380180285,1475,123
regime_route,mitm,1161,0.03436961570155068,0.017489021712612834,0.9879414298018949,85,1
regime_route,password,210951,0.8917325043885933,0.8058255771232625,0.998141748557722,261,64
regime_route,ransomware,709,0.032877127417807184,0.01673823052991541,0.918194640338505,3,0
regime_route,scanning,6029,0.3545627008401409,0.23126262626262625,0.7594957704428595,4082,0
regime_route,xss,343854,0.8548572967767101,0.7590472902691567,0.978348368784426,29984,387
regime_route+V,backdoor,40030,0.9991261142043893,0.9986025154721502,0.9996502623032726,24,0
regime_route+V,benign,1474302,0.9268950377911768,0.9946465069740792,0.8677848907482999,21918,0
regime_route+V,ddos,103338,0.9849947498560444,0.9850662485603399,0.9849232615301244,1992,0
regime_route+V,dos,22458,0.9861429302253164,0.9852006577485445,0.9870870068572446,258,0
regime_route+V,injection,68891,0.9486331600554863,0.9168009533224099,0.9827553671742317,1475,0
regime_route+V,mitm,1161,0.053268989838058556,0.027371784173004936,0.9888027562446167,85,0
regime_route+V,password,210951,0.8925800204262389,0.8070125023468242,0.9984451365482979,261,0
regime_route+V,ransomware,709,0.14058956916099774,0.07612254443405052,0.918194640338505,3,0
regime_route+V,scanning,6029,0.8595025809479118,0.9898400345871163,0.7594957704428595,4082,0
regime_route+V,xss,343854,0.8708803675944876,0.78396301736238,0.9794738464580898,29984,0
class_route,backdoor,40030,0.9977794965195479,0.9965115120103658,0.9990507119660255,0,0
class_route,benign,1474302,0.9014744924624909,0.9972899483815358,0.8224563217034231,21201,66111
class_route,ddos,103338,0.9678758486905916,0.9701153001108281,0.9656467127291025,0,0
class_route,dos,22458,0.9796739082921712,0.9620535714285714,0.9979517321221836,502,0
class_route,injection,68891,0.9376681172278789,0.9105343052117665,0.9664687695054507,457,104
class_route,mitm,1161,0.0433488296223799,0.02219994570097947,0.9155900086132644,0,0
class_route,password,210951,0.8920769343310229,0.806998833783452,0.9972078823992302,0,0
class_route,ransomware,709,0.13795186788843017,0.0742788982867057,0.9661495063469676,37,0
class_route,scanning,6029,0.1942307004044236,0.10886004854271558,0.9001492784873113,4930,0
class_route,xss,343854,0.8672368769632517,0.7658142394995053,0.9996248407754454,36921,8
class_route+V,backdoor,40030,0.9987138986352342,0.9983773123299299,0.9990507119660255,0,0
class_route+V,benign,1474302,0.9273817165112762,0.99640916784335,0.8672985589112678,21201,0
class_route+V,ddos,103338,0.9764899868383069,0.987579545342082,0.9656467127291025,0,0
class_route+V,dos,22458,0.9915936642774976,0.985316099533984,0.9979517321221836,502,0
class_route+V,injection,68891,0.950937961226658,0.9344871076233184,0.9679784006619152,457,0
class_route+V,mitm,1161,0.0492471623812833,0.025304101502059084,0.9155900086132644,0,0
class_route+V,password,210951,0.8921109827079866,0.8070545627536888,0.9972078823992302,0,0
class_route+V,ransomware,709,0.14723267060720044,0.0796882270823639,0.9661495063469676,37,0
class_route+V,scanning,6029,0.9453880324013587,0.9954145267791636,0.9001492784873113,4930,0
class_route+V,xss,343854,0.880923945914361,0.7874068236900339,0.9996481064637899,36921,0
union,backdoor,40030,0.9992009987515605,0.998702271025705,0.9997002248313764,26,0
union,benign,1474302,0.9315146362798996,0.9990486190608588,0.8725329003148609,28918,0
union,ddos,103338,0.9883195341378692,0.9895804026194519,0.9870618746250169,2213,0
union,dos,22458,0.9935947161949511,0.9891443449097569,0.9980853148098673,505,0
union,injection,68891,0.9753876271402835,0.9537138497815383,0.998069414001829,2530,0
union,mitm,1161,0.059760234069547655,0.030806193272824346,0.9939707149009475,91,0
union,password,210951,0.8936346135906851,0.8083344520088216,0.9990613934041555,391,0
union,ransomware,709,0.147597500538677,0.07990201796337339,0.9661495063469676,37,0
union,scanning,6029,0.9482653682288497,0.9965277777777778,0.9044617681207497,4956,0
union,xss,343854,0.8838404615835566,0.7920574206778958,0.9996830049963066,36933,0
