Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,1.0,0.890996865269328,0.9992165412496901,0.9992605232384973
Bot,0.0,0.0,0.0,0.0,0.6487341772151899,0.780209324452902
DDoS,0.0,0.0,0.0,0.0,0.9988316240425809,0.9993765262118772
DoS GoldenEye,0.0,0.0,0.0,0.0,0.987221494102228,0.9932421295533213
DoS Hulk,0.0,0.0,0.0,0.0,0.9994478349317059,0.9979325203664879
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.98014440433213,0.9869736443501969
DoS slowloris,0.0,0.0,0.0,0.0,0.9858437146092865,0.992022792022792
FTP-Patator,0.0,0.0,0.0,0.0,0.9991485738612176,0.9995741056218058
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0,0.9995379801331458,0.9968061155034295
SSH-Patator,0.0,0.0,0.0,0.0,0.9970605526161082,0.9985281130409185
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.8932461873638344,0.7953443258971872
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.06285714285714286,0.11578947368421053
