policy,true_class,predicted_class,rows
global,backdoor,backdoor,39996
global,backdoor,benign,26
global,backdoor,ddos,2
global,backdoor,dos,0
global,backdoor,injection,0
global,backdoor,mitm,6
global,backdoor,password,0
global,backdoor,ransomware,0
global,backdoor,scanning,0
global,backdoor,xss,0
global,benign,backdoor,67
global,benign,benign,1272555
global,benign,ddos,1155
global,benign,dos,128
global,benign,injection,3235
global,benign,mitm,28804
global,benign,password,50556
global,benign,ransomware,7923
global,benign,scanning,22
global,benign,xss,109857
global,ddos,backdoor,0
global,ddos,benign,3331
global,ddos,ddos,98914
global,ddos,dos,208
global,ddos,injection,764
global,ddos,mitm,87
global,ddos,password,4
global,ddos,ransomware,0
global,ddos,scanning,4
global,ddos,xss,26
global,dos,backdoor,0
global,dos,benign,369
global,dos,ddos,0
global,dos,dos,22059
global,dos,injection,0
global,dos,mitm,29
global,dos,password,0
global,dos,ransomware,0
global,dos,scanning,0
global,dos,xss,1
global,injection,backdoor,0
global,injection,benign,1448
global,injection,ddos,180
global,injection,dos,13
global,injection,injection,66209
global,injection,mitm,280
global,injection,password,301
global,injection,ransomware,0
global,injection,scanning,6
global,injection,xss,454
global,mitm,backdoor,0
global,mitm,benign,97
global,mitm,ddos,0
global,mitm,dos,0
global,mitm,injection,1
global,mitm,mitm,1062
global,mitm,password,1
global,mitm,ransomware,0
global,mitm,scanning,0
global,mitm,xss,0
global,password,backdoor,0
global,password,benign,155
global,password,ddos,44
global,password,dos,0
global,password,injection,292
global,password,mitm,52
global,password,password,210364
global,password,ransomware,0
global,password,scanning,0
global,password,xss,44
global,ransomware,backdoor,0
global,ransomware,benign,20
global,ransomware,ddos,7
global,ransomware,dos,0
global,ransomware,injection,0
global,ransomware,mitm,0
global,ransomware,password,2
global,ransomware,ransomware,648
global,ransomware,scanning,1
global,ransomware,xss,31
global,scanning,backdoor,0
global,scanning,benign,5551
global,scanning,ddos,11
global,scanning,dos,2
global,scanning,injection,4
global,scanning,mitm,6
global,scanning,password,0
global,scanning,ransomware,0
global,scanning,scanning,452
global,scanning,xss,3
global,xss,backdoor,0
global,xss,benign,33120
global,xss,ddos,569
global,xss,dos,8
global,xss,injection,2755
global,xss,mitm,36
global,xss,password,66
global,xss,ransomware,0
global,xss,scanning,17
global,xss,xss,307283
assignment_oracle,backdoor,backdoor,39996
assignment_oracle,backdoor,benign,26
assignment_oracle,backdoor,ddos,2
assignment_oracle,backdoor,dos,0
assignment_oracle,backdoor,injection,0
assignment_oracle,backdoor,mitm,6
assignment_oracle,backdoor,password,0
assignment_oracle,backdoor,ransomware,0
assignment_oracle,backdoor,scanning,0
assignment_oracle,backdoor,xss,0
assignment_oracle,benign,backdoor,120
assignment_oracle,benign,benign,1193650
assignment_oracle,benign,ddos,2666
assignment_oracle,benign,dos,832
assignment_oracle,benign,injection,5811
assignment_oracle,benign,mitm,61204
assignment_oracle,benign,password,50058
assignment_oracle,benign,ransomware,9151
assignment_oracle,benign,scanning,47353
assignment_oracle,benign,xss,103457
assignment_oracle,ddos,backdoor,0
assignment_oracle,ddos,benign,3331
assignment_oracle,ddos,ddos,98914
assignment_oracle,ddos,dos,208
assignment_oracle,ddos,injection,764
assignment_oracle,ddos,mitm,87
assignment_oracle,ddos,password,4
assignment_oracle,ddos,ransomware,0
assignment_oracle,ddos,scanning,4
assignment_oracle,ddos,xss,26
assignment_oracle,dos,backdoor,0
assignment_oracle,dos,benign,4
assignment_oracle,dos,ddos,0
assignment_oracle,dos,dos,22412
assignment_oracle,dos,injection,4
assignment_oracle,dos,mitm,30
assignment_oracle,dos,password,0
assignment_oracle,dos,ransomware,0
assignment_oracle,dos,scanning,0
assignment_oracle,dos,xss,8
assignment_oracle,injection,backdoor,0
assignment_oracle,injection,benign,82
assignment_oracle,injection,ddos,228
assignment_oracle,injection,dos,27
assignment_oracle,injection,injection,66542
assignment_oracle,injection,mitm,1116
assignment_oracle,injection,password,132
assignment_oracle,injection,ransomware,1
assignment_oracle,injection,scanning,118
assignment_oracle,injection,xss,645
assignment_oracle,mitm,backdoor,0
assignment_oracle,mitm,benign,97
assignment_oracle,mitm,ddos,0
assignment_oracle,mitm,dos,0
assignment_oracle,mitm,injection,1
assignment_oracle,mitm,mitm,1062
assignment_oracle,mitm,password,1
assignment_oracle,mitm,ransomware,0
assignment_oracle,mitm,scanning,0
assignment_oracle,mitm,xss,0
assignment_oracle,password,backdoor,0
assignment_oracle,password,benign,155
assignment_oracle,password,ddos,44
assignment_oracle,password,dos,0
assignment_oracle,password,injection,292
assignment_oracle,password,mitm,52
assignment_oracle,password,password,210364
assignment_oracle,password,ransomware,0
assignment_oracle,password,scanning,0
assignment_oracle,password,xss,44
assignment_oracle,ransomware,backdoor,0
assignment_oracle,ransomware,benign,5
assignment_oracle,ransomware,ddos,6
assignment_oracle,ransomware,dos,0
assignment_oracle,ransomware,injection,0
assignment_oracle,ransomware,mitm,0
assignment_oracle,ransomware,password,0
assignment_oracle,ransomware,ransomware,685
assignment_oracle,ransomware,scanning,12
assignment_oracle,ransomware,xss,1
assignment_oracle,scanning,backdoor,0
assignment_oracle,scanning,benign,549
assignment_oracle,scanning,ddos,9
assignment_oracle,scanning,dos,1
assignment_oracle,scanning,injection,2
assignment_oracle,scanning,mitm,27
assignment_oracle,scanning,password,0
assignment_oracle,scanning,ransomware,1
assignment_oracle,scanning,scanning,5439
assignment_oracle,scanning,xss,1
assignment_oracle,xss,backdoor,0
assignment_oracle,xss,benign,24
assignment_oracle,xss,ddos,2
assignment_oracle,xss,dos,0
assignment_oracle,xss,injection,22
assignment_oracle,xss,mitm,71
assignment_oracle,xss,password,6
assignment_oracle,xss,ransomware,0
assignment_oracle,xss,scanning,7
assignment_oracle,xss,xss,343722
expert1_always,backdoor,backdoor,40010
expert1_always,backdoor,benign,2
expert1_always,backdoor,ddos,2
expert1_always,backdoor,dos,2
