split,energy
cifar10_val_id,4.6930475
cifar10_val_id,8.686039
cifar10_val_id,10.027831
cifar10_val_id,9.278791
cifar10_val_id,11.756882
cifar10_val_id,5.9730406
cifar10_val_id,8.393857
cifar10_val_id,9.2548
cifar10_val_id,7.5297956
cifar10_val_id,4.7871842
cifar10_val_id,8.41849
cifar10_val_id,10.117672
cifar10_val_id,8.184638
cifar10_val_id,8.63522
cifar10_val_id,8.655915
cifar10_val_id,10.890078
cifar10_val_id,8.494453
cifar10_val_id,9.116521
cifar10_val_id,10.774957
cifar10_val_id,9.871126
cifar10_val_id,6.230892
cifar10_val_id,10.3245
cifar10_val_id,9.900617
cifar10_val_id,8.71888
cifar10_val_id,9.519333
cifar10_val_id,9.807351
cifar10_val_id,10.644665
cifar10_val_id,7.8585544
cifar10_val_id,11.525079
cifar10_val_id,10.057865
cifar10_val_id,10.70015
cifar10_val_id,9.168118
cifar10_val_id,9.16838
cifar10_val_id,9.445166
cifar10_val_id,8.200971
cifar10_val_id,10.2016945
cifar10_val_id,7.4243917
cifar10_val_id,8.802979
cifar10_val_id,9.043127
cifar10_val_id,9.204627
cifar10_val_id,9.877968
cifar10_val_id,9.154811
cifar10_val_id,6.32474
cifar10_val_id,5.9883733
cifar10_val_id,10.354735
cifar10_val_id,4.0582914
cifar10_val_id,6.253869
cifar10_val_id,10.996679
cifar10_val_id,12.316742
cifar10_val_id,9.144785
cifar10_val_id,6.9991565
cifar10_val_id,8.837166
cifar10_val_id,9.915531
cifar10_val_id,7.912618
cifar10_val_id,9.095324
cifar10_val_id,9.139964
cifar10_val_id,9.000104
cifar10_val_id,7.789475
cifar10_val_id,8.755357
cifar10_val_id,10.014917
cifar10_val_id,10.639213
cifar10_val_id,9.578398
cifar10_val_id,7.7521544
cifar10_val_id,7.17112
cifar10_val_id,6.8677974
cifar10_val_id,10.818724
cifar10_val_id,9.335485
cifar10_val_id,11.548505
cifar10_val_id,9.643705
cifar10_val_id,7.619235
cifar10_val_id,8.906715
cifar10_val_id,9.703621
cifar10_val_id,9.9994955
cifar10_val_id,8.472498
cifar10_val_id,9.44869
cifar10_val_id,8.780724
cifar10_val_id,6.2248883
cifar10_val_id,11.473283
cifar10_val_id,10.064793
cifar10_val_id,10.030997
cifar10_val_id,9.01952
cifar10_val_id,10.154557
cifar10_val_id,9.717762
cifar10_val_id,9.705795
cifar10_val_id,9.039107
cifar10_val_id,8.046386
cifar10_val_id,7.6241293
cifar10_val_id,10.010188
cifar10_val_id,5.7378416
cifar10_val_id,9.461954
cifar10_val_id,8.466022
cifar10_val_id,9.149053
cifar10_val_id,11.192467
cifar10_val_id,10.169521
cifar10_val_id,9.167579
cifar10_val_id,10.793995
cifar10_val_id,9.794402
cifar10_val_id,10.967945
cifar10_val_id,9.615251
cifar10_val_id,9.542036
cifar10_val_id,9.860197
cifar10_val_id,8.759078
cifar10_val_id,9.636365
cifar10_val_id,10.18233
cifar10_val_id,8.587665
cifar10_val_id,7.882342
cifar10_val_id,9.763842
cifar10_val_id,9.123601
cifar10_val_id,10.735181
cifar10_val_id,11.232175
cifar10_val_id,6.9023128
cifar10_val_id,8.477452
cifar10_val_id,9.113617
cifar10_val_id,9.93847
cifar10_val_id,3.56743
cifar10_val_id,7.028839
cifar10_val_id,8.888446
cifar10_val_id,10.317981
cifar10_val_id,10.01593
cifar10_val_id,11.641691
cifar10_val_id,7.185791
cifar10_val_id,8.440214
cifar10_val_id,8.374271
cifar10_val_id,10.307773
cifar10_val_id,9.102246
cifar10_val_id,8.43956
cifar10_val_id,8.911392
cifar10_val_id,9.346479
cifar10_val_id,8.6962595
cifar10_val_id,7.600116
cifar10_val_id,9.694539
cifar10_val_id,9.9319515
cifar10_val_id,10.567827
cifar10_val_id,9.680109
cifar10_val_id,9.2381
cifar10_val_id,4.20118
cifar10_val_id,7.6573853
cifar10_val_id,8.096044
cifar10_val_id,8.478408
cifar10_val_id,6.089006
cifar10_val_id,10.070746
cifar10_val_id,10.81325
cifar10_val_id,10.055435
cifar10_val_id,9.58064
cifar10_val_id,8.604157
cifar10_val_id,8.779079
cifar10_val_id,10.120888
cifar10_val_id,4.8645735
cifar10_val_id,9.509947
cifar10_val_id,8.909277
cifar10_val_id,11.018288
cifar10_val_id,9.55019
cifar10_val_id,8.678239
cifar10_val_id,9.977893
cifar10_val_id,8.730667
cifar10_val_id,9.0024805
cifar10_val_id,8.792542
cifar10_val_id,10.334189
cifar10_val_id,9.094696
cifar10_val_id,8.788666
cifar10_val_id,6.7471833
cifar10_val_id,9.012481
cifar10_val_id,9.181512
cifar10_val_id,5.677733
cifar10_val_id,4.5489044
cifar10_val_id,7.6378284
cifar10_val_id,9.301122
cifar10_val_id,9.83223
cifar10_val_id,5.887559
cifar10_val_id,10.131999
cifar10_val_id,10.715851
cifar10_val_id,9.988784
cifar10_val_id,3.6949952
cifar10_val_id,9.177965
cifar10_val_id,9.109792
cifar10_val_id,8.551104
cifar10_val_id,9.484475
cifar10_val_id,9.037704
cifar10_val_id,11.339857
cifar10_val_id,9.665472
cifar10_val_id,7.411327
cifar10_val_id,10.796667
cifar10_val_id,8.609307
cifar10_val_id,9.397722
cifar10_val_id,9.972856
cifar10_val_id,7.9527173
cifar10_val_id,10.20797
cifar10_val_id,9.821681
cifar10_val_id,9.872816
cifar10_val_id,9.399921
cifar10_val_id,8.948179
cifar10_val_id,9.402402
cifar10_val_id,3.9293559
cifar10_val_id,9.054954
cifar10_val_id,6.474503
cifar10_val_id,8.719421
cifar10_val_id,9.66165
cifar10_val_id,8.580218
cifar10_val_id,7.300826
cifar10_val_id,10.267466
cifar10_val_id,11.229161
cifar10_val_id,8.22285
cifar10_val_id,10.259083
cifar10_val_id,7.8557873
cifar10_val_id,9.065684
cifar10_val_id,8.644024
cifar10_val_id,9.388331
cifar10_val_id,7.1457305
cifar10_val_id,9.704055
cifar10_val_id,10.074175
cifar10_val_id,4.6230865
cifar10_val_id,10.484885
cifar10_val_id,8.786131
cifar10_val_id,10.206766
cifar10_val_id,9.969112
cifar10_val_id,7.7858047
cifar10_val_id,8.358736
cifar10_val_id,9.257936
cifar10_val_id,9.037193
cifar10_val_id,10.368846
cifar10_val_id,6.578796
cifar10_val_id,8.892735
cifar10_val_id,10.198237
cifar10_val_id,7.215153
cifar10_val_id,9.778887
cifar10_val_id,6.1898246
cifar10_val_id,8.497284
cifar10_val_id,7.6826158
cifar10_val_id,7.863391
cifar10_val_id,9.209674
cifar10_val_id,9.332759
cifar10_val_id,8.8098955
cifar10_val_id,9.609774
cifar10_val_id,10.149297
cifar10_val_id,10.177093
cifar10_val_id,9.234689
cifar10_val_id,9.299981
cifar10_val_id,9.695162
cifar10_val_id,10.8850355
cifar10_val_id,8.324834
cifar10_val_id,9.902017
cifar10_val_id,7.5499616
cifar10_val_id,9.210099
cifar10_val_id,9.919461
cifar10_val_id,11.549005
cifar10_val_id,9.727622
cifar10_val_id,11.009494
cifar10_val_id,9.30899
cifar10_val_id,9.227205
cifar10_val_id,7.8997736
cifar10_val_id,10.701258
cifar10_val_id,8.288747
cifar10_val_id,10.139001
cifar10_val_id,8.86815
cifar10_val_id,6.8152614
cifar10_val_id,9.671626
