arm,expert,block_rows,backdoor,benign,ddos,dos,injection,mitm,password,ransomware,scanning,xss
designed,1,186000,29843,22584,28049,10639,24604,59,27878,0,0,42344
designed,2,4498,0,0,0,0,0,28,0,0,4470,0
designed,3,537,0,0,0,0,0,0,0,537,0,0
designed,4,4580,52,0,10,1313,2402,734,14,0,0,55
matched_random,1,186000,29843,22584,28049,10639,24604,59,27878,0,0,42344
matched_random,2,4498,0,0,0,0,0,28,0,0,4470,0
matched_random,3,537,0,0,0,0,0,0,0,537,0,0
matched_random,4,4580,52,0,10,1313,2402,734,14,0,0,55
balanced_random,1,186000,27184,27184,27184,17071,27183,821,27183,537,4470,27183
balanced_random,2,4498,450,450,450,450,450,450,450,450,449,449
balanced_random,3,537,54,54,54,54,54,54,54,53,53,53
balanced_random,4,4580,458,458,458,458,458,458,458,458,458,458
