expert,active_owned_classes,score,ood_role,id_support,ood_support,auroc,aupr_id,fpr95
flood,dos,maxsim,unseen,50000,50000,0.0002,0.3069,1.0
flood,dos,maxsim,aux,50000,50000,0.1245,0.3271,0.9657
flood,dos,maxsim,non_owned_known_attack,50000,129682,0.2042,0.1921,1.0
flood,dos,maxsim,benign,50000,50000,0.0001,0.3069,1.0
flood,dos,energy_head,unseen,50000,50000,0.0,0.3069,1.0
flood,dos,energy_head,aux,50000,50000,0.0429,0.312,0.997
flood,dos,energy_head,non_owned_known_attack,50000,129682,0.2112,0.1938,1.0
flood,dos,energy_head,benign,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,maxsim,unseen,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,maxsim,aux,50000,50000,0.0025,0.3071,1.0
brute_force,brute_force,maxsim,non_owned_known_attack,50000,129682,0.0909,0.1729,1.0
brute_force,brute_force,maxsim,benign,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,energy_head,unseen,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,energy_head,aux,50000,50000,0.0013,0.307,1.0
brute_force,brute_force,energy_head,non_owned_known_attack,50000,129682,0.0902,0.1729,1.0
brute_force,brute_force,energy_head,benign,50000,50000,0.0,0.3069,1.0
tail,"bot,infiltration,web_attacks",maxsim,unseen,79677,50000,0.6655,0.8392,0.9762
tail,"bot,infiltration,web_attacks",maxsim,aux,79677,50000,0.8963,0.9414,0.5404
tail,"bot,infiltration,web_attacks",maxsim,non_owned_known_attack,79677,100000,0.7601,0.821,0.9262
tail,"bot,infiltration,web_attacks",maxsim,benign,79677,50000,0.662,0.6861,0.857
tail,"bot,infiltration,web_attacks",energy_head,unseen,79677,50000,0.4329,0.5906,0.8318
tail,"bot,infiltration,web_attacks",energy_head,aux,79677,50000,0.8339,0.8807,0.6256
tail,"bot,infiltration,web_attacks",energy_head,non_owned_known_attack,79677,100000,0.7021,0.7575,0.9547
tail,"bot,infiltration,web_attacks",energy_head,benign,79677,50000,0.5767,0.6121,0.874
benign,benign,maxsim,unseen,50000,50000,0.5293,0.6366,0.9949
benign,benign,maxsim,aux,50000,50000,0.7327,0.7459,0.8079
benign,benign,maxsim,known_attack,50000,179682,0.5461,0.2372,0.9776
benign,benign,energy_head,unseen,50000,50000,0.3582,0.5142,0.9952
benign,benign,energy_head,aux,50000,50000,0.6714,0.6878,0.8048
benign,benign,energy_head,known_attack,50000,179682,0.6249,0.3149,0.9315
