Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
BENIGN,1.0,0.8908540495594404,0.9881845505403613,0.9900086820296689
Bot,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.9913299312643199,0.9951646628332462
DoS GoldenEye,0.0,0.0,0.9818652849740933,0.9853753656158596
DoS Hulk,0.0,0.0,0.9901067543491171,0.9753570867995605
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.9781483611270846,0.8185755534167469
FTP-Patator,0.0,0.0,0.9777310924369748,0.9853906415413932
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.9526668205957054,0.9247162853242599
SSH-Patator,0.0,0.0,0.9841718485019785,0.9637420426238583
Web Attack � Brute Force,0.0,0.0,0.09955752212389381,0.17928286852589642
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
