scenario,total,train,val,test,note
benign,8039139,4823483,1607828,1607828,
bot,2804,1682,561,561,
brute_force_web,884,530,177,177,
brute_force_xss,1,1,0,0,train_only(<5)
ddos_attack_hoic,244060,146436,48812,48812,
ddos_attack_loic_udp,1723,1033,345,345,
ddos_attacks_loic_http,265827,159496,53165,53166,
dos_attacks_goldeneye,27410,16446,5482,5482,
dos_attacks_hulk,100072,60043,20014,20015,
dos_attacks_slowhttptest,1,1,0,0,train_only(<5)
dos_attacks_slowloris,3510,2106,702,702,
ftp_bruteforce,1,1,0,0,train_only(<5)
infilteration,46864,28118,9373,9373,
sql_injection,99,59,20,20,
ssh_bruteforce,93979,56387,18796,18796,
