policy,class,support,f1,precision,recall,H,D
global,backdoor,40030,0.9987141555247618,0.9981783245576822,0.9992505620784412,0,0
global,benign,1474302,0.9122768270895532,0.9675939481932119,0.8629425992774886,0,0
global,ddos,103338,0.9731152655568285,0.9804807607296875,0.9658596063403588,0,0
global,dos,22458,0.9839262656396099,0.9838824577025823,0.9839700774779588,0,0
global,injection,68891,0.9298588185713282,0.9008288082309232,0.9608221683529053,0,0
global,mitm,1161,0.06217405238469831,0.03217538146070804,0.9190353143841516,0,0
global,password,210951,0.8905246983476585,0.8044124956983902,0.9972837293968742,0,0
global,ransomware,709,0.13971539456662355,0.07563908019143224,0.9139633286318759,0,0
global,scanning,6029,0.13370216689718764,0.9100418410041841,0.07215126886714214,0,0
global,xss,343854,0.8107230921621109,0.7409626080466135,0.8949844992351405,0,0
regime_route,backdoor,40030,0.9942854303319419,0.9889289774131369,0.9997002248313764,18,0
regime_route,benign,1474302,0.8782105631020756,0.9980254830961668,0.7840801952381534,10037,126304
regime_route,ddos,103338,0.9540549362506059,0.9756625531054016,0.9333836536414485,1933,5289
regime_route,dos,22458,0.926595522075748,0.874032843833886,0.9858847626680916,43,0
regime_route,injection,68891,0.8793210652343595,0.8077460595233755,0.9648139815070184,1486,1211
regime_route,mitm,1161,0.03483004616030214,0.017747586229583695,0.9293712316968131,41,29
regime_route,password,210951,0.8879146844442569,0.7999802321956708,0.9975681556380391,221,161
regime_route,ransomware,709,0.02304106626965137,0.01166714531878231,0.9167842031029619,2,0
regime_route,scanning,6029,0.6033902530225601,0.4832784266746531,0.8029523967490463,4577,171
regime_route,xss,343854,0.8270845059783576,0.7116891013544681,0.9871427989786363,33423,1734
regime_route+V,backdoor,40030,0.9989640409890288,0.9982289406071491,0.9997002248313764,18,0
regime_route+V,benign,1474302,0.9289538904460702,0.9968057749474496,0.8697505667088561,10037,0
regime_route+V,ddos,103338,0.9869098140019885,0.9892656081363579,0.9845652131839208,1933,0
regime_route+V,dos,22458,0.985314405233412,0.9847447073474471,0.9858847626680916,43,0
regime_route+V,injection,68891,0.9563632252776757,0.931677702674798,0.9823924750693124,1486,0
regime_route+V,mitm,1161,0.06534174677124491,0.03382896223246726,0.954349698535745,41,0
regime_route+V,password,210951,0.8923478478255803,0.8067072703593043,0.9983313660518319,221,0
regime_route+V,ransomware,709,0.14022219825261567,0.07591684185937865,0.9167842031029619,2,0
regime_route+V,scanning,6029,0.9053468208092486,0.9938528653579218,0.8313153093381987,4577,0
regime_route+V,xss,343854,0.8706415860888028,0.775626335652253,0.9921856369273006,33423,0
class_route,backdoor,40030,0.9943693833666861,0.9895356603913613,0.9992505620784412,0,0
class_route,benign,1474302,0.8897248617244062,0.9974605453508348,0.8029935522030086,10832,99215
class_route,ddos,103338,0.9766861560290628,0.9877581719397904,0.9658596063403588,0,0
class_route,dos,22458,0.9783153536013948,0.9580825543176676,0.999421141686704,347,0
class_route,injection,68891,0.9549014574994277,0.9144964124368855,0.9990419648430129,2650,17
class_route,mitm,1161,0.03361476907567261,0.017120485214126405,0.9190353143841516,0,0
class_route,password,210951,0.8892317316471106,0.8023049611581248,0.9972837293968742,0,0
class_route,ransomware,709,0.026284980550625024,0.013320829106777163,0.9816643159379408,48,0
class_route,scanning,6029,0.6619627212324337,0.5127527782838404,0.9336540056394095,5205,11
class_route,xss,343854,0.8539156626506024,0.7482568445932637,0.9943202638329058,35946,1789
class_route+V,backdoor,40030,0.9988014382740711,0.9983527180152748,0.9992505620784412,0,0
class_route+V,benign,1474302,0.9296032411895374,0.9975928457135393,0.8702898049382013,10832,0
class_route+V,ddos,103338,0.9786541421945935,0.9917922015978378,0.9658596063403588,0,0
class_route+V,dos,22458,0.9923951010301986,0.9854671584123639,0.999421141686704,347,0
class_route+V,injection,68891,0.9685007245255413,0.939553165645344,0.999288731474358,2650,0
class_route+V,mitm,1161,0.06391135070380354,0.0331068292531571,0.9190353143841516,0,0
class_route+V,password,210951,0.8926785490759344,0.8079342524674527,0.9972837293968742,0,0
class_route+V,ransomware,709,0.14958091553836234,0.08095847388623939,0.9816643159379408,48,0
class_route+V,scanning,6029,0.9653401797175867,0.9971711456859972,0.9354785204843258,5205,0
class_route+V,xss,343854,0.8747629773858155,0.7776917924767387,0.9995230533889383,35946,0
union,backdoor,40030,0.9990763623655109,0.9983536220315307,0.9998001498875844,22,0
union,benign,1474302,0.9433016258942454,0.9994042093934548,0.8931630018815684,44554,0
union,ddos,103338,0.9928151598191202,0.9934404309743431,0.992190675259827,2721,0
union,dos,22458,0.9929658467527871,0.9865934065934066,0.999421141686704,347,0
union,injection,68891,0.9751662311728592,0.9519964605685212,0.9994919510531128,2664,0
union,mitm,1161,0.2784932001444217,0.16186345831001678,0.9965546942291128,90,0
union,password,210951,0.8937623485317436,0.8083945314746994,0.9992889343970874,423,0
union,ransomware,709,0.14974182444061962,0.08105275416327005,0.9816643159379408,48,0
union,scanning,6029,0.9787054250464763,0.997588285960379,0.9605241333554486,5356,0
union,xss,343854,0.8843373586973722,0.7929254130072185,0.9995724929766703,35963,0
