Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,0.9831761769853857,0.9323855398888583,0.9755660636186111,0.9299943705703206,0.998180732489917,0.9965424735265964
Bot,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.6360638712190055,0.6019016731775632,0.5344930546540309,0.6089992012543265,0.9922367908607036,0.99585667752443
DoS GoldenEye,0.20249017038007863,0.32776451869530626,0.0,0.0,0.882699868938401,0.932987012987013
DoS Hulk,0.5618715489683231,0.6634126255650965,0.788070328392909,0.7764495347172512,0.9943766346992153,0.9902971629512254
DoS Slowhttptest,0.5216606498194946,0.64293659621802,0.0,0.0,0.5415162454873647,0.6859756097560976
DoS slowloris,0.0,0.0,0.0,0.0,0.8765571913929785,0.9325301204819277
FTP-Patator,0.0,0.0,0.0,0.0,0.9970200085142614,0.9978696207925011
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0012390532792910095,0.0024719807269299255,0.0,0.0,0.9934057164458072,0.9936456921994308
SSH-Patator,0.0,0.0,0.0,0.0,0.9900058788947678,0.9926318891836133
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.0,0.0
