expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,ddos,target known,ddos,99441,100000,0.99441
flood,ddos,target known,dos,82,100000,0.00082
flood,dos,target known,dos,36900,40692,0.9068121498083161
flood,injection,target known,ddos,1312,76356,0.017182670648017182
flood,injection,target known,dos,1549,76356,0.020286552464770288
flood,mitm,target known,ddos,6,1204,0.0049833887043189366
flood,mitm,target known,dos,10,1204,0.008305647840531562
flood,password,target known,ddos,68,100000,0.00068
flood,password,target known,dos,1,100000,1e-05
flood,ransomware,target known,ddos,30,795,0.03773584905660377
flood,xss,target known,ddos,527,100000,0.00527
flood,xss,target known,dos,3172,100000,0.03172
flood,unseen::scanning,target unseen,ddos,662,100000,0.00662
flood,unseen::scanning,target unseen,dos,29,100000,0.00029
flood,benign_diagnostic,benign diagnostic,ddos,17006,100000,0.17006
flood,benign_diagnostic,benign diagnostic,dos,10064,100000,0.10064
probe_access,injection,target known,password,10,76356,0.00013096547750013096
probe_access,password,target known,password,94761,100000,0.94761
probe_access,xss,target known,password,1,100000,1e-05
probe_access,unseen::scanning,target unseen,password,17,100000,0.00017
probe_access,benign_diagnostic,benign diagnostic,password,674,100000,0.00674
application,backdoor,target known,injection,4,40678,9.833325138895717e-05
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,201,100000,0.00201
application,ddos,target known,xss,729,100000,0.00729
application,dos,target known,xss,5879,40692,0.1444755725941217
application,injection,target known,injection,68776,76356,0.9007281680549007
application,injection,target known,xss,2583,76356,0.03382838283828383
application,mitm,target known,injection,4,1204,0.0033222591362126247
application,mitm,target known,xss,5,1204,0.004152823920265781
application,password,target known,injection,94,100000,0.00094
application,password,target known,xss,48,100000,0.00048
application,ransomware,target known,xss,16,795,0.02012578616352201
application,xss,target known,injection,334,100000,0.00334
application,xss,target known,xss,98063,100000,0.98063
application,unseen::scanning,target unseen,injection,52,100000,0.00052
application,unseen::scanning,target unseen,xss,2613,100000,0.02613
application,benign_diagnostic,benign diagnostic,injection,147,100000,0.00147
application,benign_diagnostic,benign diagnostic,xss,18482,100000,0.18482
stealth_malware,backdoor,target known,backdoor,40544,40678,0.99670583607847
