class,global_pred,rows,wrong,residual_mass,clipped_mass,clipped_rows
backdoor,backdoor,30097,0,8408.234479169094,8408.234479169094,0
backdoor,benign,20,20,295.4246926627931,142.07304865743177,14
backdoor,mitm,6,6,137.89212289214,47.43677310744326,6
backdoor,ransomware,6,6,60.659732212804535,43.35739641280618,4
benign,backdoor,2,2,0.5356407032970859,0.5356407032970859,0
benign,benign,503778,0,20122.83102457263,20122.83102457263,0
benign,ddos,380,380,101.74988564711462,101.74988564711462,0
benign,dos,5,5,1.48837184198362,1.48837184198362,0
benign,injection,95,95,29.787979029103056,29.787979029103056,0
benign,mitm,8,8,2.4222279754754346,2.4222279754754346,0
benign,ransomware,1,1,0.40367553826794106,0.40367553826794106,0
benign,xss,4,4,1.1312180970202623,1.1312180970202623,0
ddos,benign,902,902,967.2415728578753,967.2415728578753,0
ddos,ddos,152399,0,16977.416041445314,16977.416041445314,0
ddos,injection,56,56,70.30607775805144,70.30607775805144,0
ddos,password,1,1,2.56203990313303,2.56203990313303,0
ddos,scanning,2,2,8.399477398555833,8.399477398555833,0
ddos,xss,52,52,78.74969223096052,78.74969223096052,0
dos,benign,394,394,5331.889670868253,3107.272637763626,387
dos,dos,16651,0,7567.444778989319,7526.140435855636,128
dos,mitm,23,23,255.68923272239104,180.9868167321913,22
dos,xss,3,3,55.079744666365116,23.71838655372163,3
injection,benign,851,851,5171.777286827228,4908.231391202556,193
injection,ddos,284,284,2605.5515410044914,1841.0449509993057,170
injection,dos,12,12,125.35056861272939,94.87354621488652,12
injection,injection,48635,0,24512.462789084806,24512.462789084806,0
injection,mitm,102,102,702.8983096906541,640.2713026868109,31
injection,password,270,270,1282.3231229092376,1282.0863813274555,1
injection,scanning,18,18,108.25735085760512,89.4952169553482,6
injection,xss,189,189,903.3119174629248,903.3119174629248,0
mitm,benign,16,16,7129.54811027462,126.4980616198487,16
mitm,dos,10,10,2386.727784968325,79.06128851240544,10
mitm,injection,1,1,598.2533655011945,7.906128851240544,1
mitm,mitm,794,0,1716.3683346744913,996.4041760346764,37
password,benign,62,62,110.73077843273533,110.73077843273533,0
password,ddos,28,28,42.67644270389027,42.67644270389027,0
password,injection,271,271,356.3196317553472,356.3196317553472,0
password,password,158982,0,20313.493109396535,20313.493109396535,0
password,scanning,1,1,0.7932357520525731,0.7932357520525731,0
password,xss,16,16,26.811233198428894,26.811233198428894,0
ransomware,backdoor,3,3,988.6373990425238,23.71838655372163,3
ransomware,benign,40,40,27508.984629513845,316.24515404962176,40
ransomware,ransomware,493,0,26759.223155761923,3530.221357736196,403
ransomware,xss,1,1,698.7546687972485,7.906128851240544,1
scanning,benign,3911,3911,170539.00937234433,30920.869937201765,3911
scanning,ddos,2,2,177.38552300757138,15.812257702481087,2
scanning,injection,2,2,168.26844937330787,15.812257702481087,2
scanning,mitm,1,1,92.92154208655701,7.906128851240544,1
scanning,password,2,2,132.3843974260203,15.812257702481087,2
scanning,scanning,549,0,6549.669958478504,4055.316671765033,428
scanning,xss,3,3,309.7677996325101,23.71838655372163,3
xss,benign,21097,21097,15989.502051850563,15989.502051850563,0
xss,ddos,418,418,390.80764021963245,390.80764021963245,0
xss,dos,1,1,2.321039884480347,2.321039884480347,0
xss,injection,2610,2610,2161.0561527774976,2161.0561527774976,0
xss,mitm,18,18,33.04316093409063,33.04316093409063,0
xss,password,66,66,68.77657712815767,68.77657712815767,0
xss,scanning,17,17,18.422830134206357,18.422830134206357,0
xss,xss,222614,0,11481.874933169476,11481.874933169476,0
