Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1
BENIGN,1.0,0.890996865269328,1.0,0.890996865269328
Bot,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS GoldenEye,0.0,0.0,0.0,0.0
DoS Hulk,0.0,0.0,0.0,0.0
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.0,0.0
FTP-Patator,0.0,0.0,0.0,0.0
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0
SSH-Patator,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
