Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,1.0,0.890996865269328,0.9993911322446093,0.9995179796524318
Bot,0.0,0.0,0.0,0.0,0.7246835443037974,0.8297101449275363
DDoS,0.0,0.0,0.0,0.0,0.9996884330780216,0.9997792867065681
DoS GoldenEye,0.0,0.0,0.0,0.0,0.994429882044561,0.9957349081364829
DoS Hulk,0.0,0.0,0.0,0.0,0.9998111014240046,0.9990272091064843
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.9915764139590855,0.9927710843373494
DoS slowloris,0.0,0.0,0.0,0.0,0.9966024915062288,0.9974497024652876
FTP-Patator,0.0,0.0,0.0,0.0,0.9995742869306088,0.9997870981477539
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.35714285714285715,0.5263157894736842
PortScan,0.0,0.0,0.0,0.0,0.9996849864544175,0.9968796464995497
SSH-Patator,0.0,0.0,0.0,0.0,0.9976484420928865,0.9988228369629194
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.9520697167755992,0.8315889628924833
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.12,0.19534883720930232
