model,class,support,TP,FP,FN,f1
global_raw,backdoor,40030,39986,113,44,0.9980406594366584
global_raw,benign,1474302,1258414,45939,215888,0.9057720371906552
global_raw,ddos,103338,99478,1317,3860,0.9746390833427226
global_raw,dos,22458,21213,483,1245,0.9608642478597635
global_raw,injection,68891,65860,11084,3031,0.903212534713889
global_raw,mitm,1161,1050,40452,111,0.049222980099852334
global_raw,password,210951,210190,50464,761,0.8913815587196913
global_raw,ransomware,709,646,8092,63,0.13676299354292368
global_raw,scanning,6029,505,131,5524,0.15153788447111777
global_raw,xss,343854,305519,110787,38335,0.8038281414439066
global_calibrated,backdoor,40030,39986,113,44,0.9980406594366584
global_calibrated,benign,1474302,1258414,45939,215888,0.9057720371906552
global_calibrated,ddos,103338,99478,1317,3860,0.9746390833427226
global_calibrated,dos,22458,21213,483,1245,0.9608642478597635
global_calibrated,injection,68891,65860,11084,3031,0.903212534713889
global_calibrated,mitm,1161,1050,40452,111,0.049222980099852334
global_calibrated,password,210951,210190,50464,761,0.8913815587196913
global_calibrated,ransomware,709,646,8092,63,0.13676299354292368
global_calibrated,scanning,6029,505,131,5524,0.15153788447111777
global_calibrated,xss,343854,305519,110787,38335,0.8038281414439066
designed_e1_raw,backdoor,40030,40012,286,18,0.9962155163828303
designed_e1_raw,benign,1474302,1233447,1678,240855,0.9104855011779244
designed_e1_raw,ddos,103338,101306,1792,2032,0.9814760991299967
designed_e1_raw,dos,22458,21961,846,497,0.9703302772561582
designed_e1_raw,injection,68891,65928,6772,2963,0.9312456300188572
designed_e1_raw,mitm,1161,1143,54837,18,0.04000630020475666
designed_e1_raw,password,210951,210635,50221,316,0.8928862861297098
designed_e1_raw,ransomware,709,669,11327,40,0.10531286894923259
designed_e1_raw,scanning,6029,4933,5555,1096,0.5973239692438094
designed_e1_raw,xss,343854,343072,115303,782,0.8552969289317639
designed_e1_calibrated,backdoor,40030,40012,286,18,0.9962155163828303
designed_e1_calibrated,benign,1474302,1233447,1678,240855,0.9104855011779244
designed_e1_calibrated,ddos,103338,101306,1792,2032,0.9814760991299967
designed_e1_calibrated,dos,22458,21961,846,497,0.9703302772561582
designed_e1_calibrated,injection,68891,65928,6772,2963,0.9312456300188572
designed_e1_calibrated,mitm,1161,1143,54837,18,0.04000630020475666
designed_e1_calibrated,password,210951,210635,50221,316,0.8928862861297098
designed_e1_calibrated,ransomware,709,669,11327,40,0.10531286894923259
designed_e1_calibrated,scanning,6029,4933,5555,1096,0.5973239692438094
designed_e1_calibrated,xss,343854,343072,115303,782,0.8552969289317639
designed_e2_raw,backdoor,40030,40010,477,20,0.9938273904889651
designed_e2_raw,benign,1474302,1231097,2467,243205,0.9092746834592258
designed_e2_raw,ddos,103338,101464,3680,1874,0.9733598104392706
designed_e2_raw,dos,22458,21933,2527,525,0.9349503388891257
designed_e2_raw,injection,68891,66469,17039,2422,0.8723023116949586
designed_e2_raw,mitm,1161,1143,59705,18,0.03686561628150752
designed_e2_raw,password,210951,210065,50512,886,0.8909969291325224
designed_e2_raw,ransomware,709,662,10364,47,0.11282488282914359
designed_e2_raw,scanning,6029,5640,9568,389,0.5311484672976409
designed_e2_raw,xss,343854,332339,104562,11515,0.8513272409398595
designed_e2_calibrated,backdoor,40030,40010,477,20,0.9938273904889651
designed_e2_calibrated,benign,1474302,1231097,2467,243205,0.9092746834592258
designed_e2_calibrated,ddos,103338,101464,3680,1874,0.9733598104392706
designed_e2_calibrated,dos,22458,21933,2527,525,0.9349503388891257
designed_e2_calibrated,injection,68891,66469,17039,2422,0.8723023116949586
designed_e2_calibrated,mitm,1161,1143,59705,18,0.03686561628150752
designed_e2_calibrated,password,210951,210065,50512,886,0.8909969291325224
designed_e2_calibrated,ransomware,709,662,10364,47,0.11282488282914359
designed_e2_calibrated,scanning,6029,5640,9568,389,0.5311484672976409
designed_e2_calibrated,xss,343854,332339,104562,11515,0.8513272409398595
designed_e3_raw,backdoor,40030,40024,1080,6,0.9866147361155619
designed_e3_raw,benign,1474302,1196461,1730,277841,0.8953894360060064
designed_e3_raw,ddos,103338,101255,4355,2083,0.9691885062312154
designed_e3_raw,dos,22458,22402,17293,56,0.7208662494167619
designed_e3_raw,injection,68891,68671,69297,220,0.6639401718078498
designed_e3_raw,mitm,1161,1137,57247,24,0.03818960450079772
