expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,2,40678,4.9166625694478586e-05
flood,ddos,target known,ddos,99389,100000,0.99389
flood,ddos,target known,dos,107,100000,0.00107
flood,dos,target known,dos,36386,40692,0.8941806743340214
flood,injection,target known,ddos,1239,76356,0.016226622662266228
flood,injection,target known,dos,859,76356,0.011249934517261249
flood,mitm,target known,ddos,5,1204,0.004152823920265781
flood,mitm,target known,dos,3,1204,0.0024916943521594683
flood,password,target known,ddos,35,100000,0.00035
flood,password,target known,dos,1,100000,1e-05
flood,ransomware,target known,ddos,44,795,0.055345911949685536
flood,scanning,target known,ddos,166,100000,0.00166
flood,scanning,target known,dos,6,100000,6e-05
flood,unseen::xss,target unseen,ddos,6310,100000,0.0631
flood,unseen::xss,target unseen,dos,8540,100000,0.0854
flood,benign_diagnostic,benign diagnostic,ddos,15837,100000,0.15837
flood,benign_diagnostic,benign diagnostic,dos,595,100000,0.00595
probe_access,backdoor,target known,password,4,40678,9.833325138895717e-05
probe_access,injection,target known,scanning,3,76356,3.928964325003929e-05
probe_access,injection,target known,password,5,76356,6.548273875006548e-05
probe_access,password,target known,password,95365,100000,0.95365
probe_access,scanning,target known,scanning,43600,100000,0.436
probe_access,scanning,target known,password,36,100000,0.00036
probe_access,unseen::xss,target unseen,scanning,26,100000,0.00026
probe_access,unseen::xss,target unseen,password,2,100000,2e-05
probe_access,benign_diagnostic,benign diagnostic,scanning,44825,100000,0.44825
probe_access,benign_diagnostic,benign diagnostic,password,785,100000,0.00785
application,backdoor,target known,injection,26,40678,0.0006391661340282216
application,ddos,target known,injection,3156,100000,0.03156
application,dos,target known,injection,2311,40692,0.05679248992430945
application,injection,target known,injection,72899,76356,0.9547252344282047
application,mitm,target known,injection,163,1204,0.13538205980066445
application,password,target known,injection,931,100000,0.00931
application,ransomware,target known,injection,15,795,0.018867924528301886
application,scanning,target known,injection,577,100000,0.00577
application,unseen::xss,target unseen,injection,53105,100000,0.53105
application,benign_diagnostic,benign diagnostic,injection,36995,100000,0.36995
stealth_malware,backdoor,target known,backdoor,40546,40678,0.9967550027041644
stealth_malware,ransomware,target known,ransomware,15,795,0.018867924528301886
stealth_malware,benign_diagnostic,benign diagnostic,ransomware,1,100000,1e-05
