Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,0.9769613244267473,0.9364711706276377,0.998180732489917,0.9965424735265964
Bot,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.7650785408282488,0.7874139889104148,0.9922367908607036,0.99585667752443
DoS GoldenEye,0.0,0.0,0.0,0.0,0.882699868938401,0.932987012987013
DoS Hulk,0.0,0.0,0.7984161580935775,0.783167046750285,0.9943766346992153,0.9902971629512254
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.5415162454873647,0.6859756097560976
DoS slowloris,0.0,0.0,0.0,0.0,0.8765571913929785,0.9325301204819277
FTP-Patator,0.0,0.0,0.0,0.0,0.9970200085142614,0.9978696207925011
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0,0.9934057164458072,0.9936456921994308
SSH-Patator,0.0,0.0,0.0,0.0,0.9900058788947678,0.9926318891836133
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.0,0.0
