expert,active_owned_classes,score,ood_role,id_support,ood_support,auroc,aupr_id,fpr95
flood,ddos,maxsim,unseen,50000,50000,0.0286,0.3084,1.0
flood,ddos,maxsim,aux,50000,50000,0.0045,0.307,1.0
flood,ddos,maxsim,non_owned_known_attack,50000,129682,0.0028,0.1542,1.0
flood,ddos,maxsim,benign,50000,50000,0.0067,0.3074,1.0
flood,ddos,energy_head,unseen,50000,50000,0.0003,0.3069,1.0
flood,ddos,energy_head,aux,50000,50000,0.0001,0.3069,1.0
flood,ddos,energy_head,non_owned_known_attack,50000,129682,0.0,0.1542,1.0
flood,ddos,energy_head,benign,50000,50000,0.0001,0.3069,1.0
brute_force,brute_force,maxsim,unseen,50000,50000,0.2352,0.3921,0.9847
brute_force,brute_force,maxsim,aux,50000,50000,0.0026,0.3071,1.0
brute_force,brute_force,maxsim,non_owned_known_attack,50000,129682,0.0,0.1542,1.0
brute_force,brute_force,maxsim,benign,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,energy_head,unseen,50000,50000,0.2326,0.3918,0.9847
brute_force,brute_force,energy_head,aux,50000,50000,0.0009,0.3069,1.0
brute_force,brute_force,energy_head,non_owned_known_attack,50000,129682,0.0,0.1542,1.0
brute_force,brute_force,energy_head,benign,50000,50000,0.0,0.3069,1.0
tail,"bot,infiltration,web_attacks",maxsim,unseen,79677,50000,0.8177,0.9085,0.8953
tail,"bot,infiltration,web_attacks",maxsim,aux,79677,50000,0.8887,0.9362,0.5526
tail,"bot,infiltration,web_attacks",maxsim,non_owned_known_attack,79677,100000,0.7392,0.7965,0.9602
tail,"bot,infiltration,web_attacks",maxsim,benign,79677,50000,0.634,0.658,0.8638
tail,"bot,infiltration,web_attacks",energy_head,unseen,79677,50000,0.6398,0.77,0.9382
tail,"bot,infiltration,web_attacks",energy_head,aux,79677,50000,0.7889,0.8384,0.6447
tail,"bot,infiltration,web_attacks",energy_head,non_owned_known_attack,79677,100000,0.5232,0.4861,0.9121
tail,"bot,infiltration,web_attacks",energy_head,benign,79677,50000,0.5501,0.5923,0.8692
benign,benign,maxsim,unseen,50000,50000,0.7815,0.8429,0.8968
benign,benign,maxsim,aux,50000,50000,0.8359,0.8583,0.6521
benign,benign,maxsim,known_attack,50000,179682,0.6454,0.4168,0.9879
benign,benign,energy_head,unseen,50000,50000,0.7177,0.7816,0.9636
benign,benign,energy_head,aux,50000,50000,0.795,0.8111,0.6463
benign,benign,energy_head,known_attack,50000,179682,0.6542,0.4869,0.986
