Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,0.9926055578622432,0.9357217147883623,0.9980839005095417,0.9974195326715021
Bot,0.0,0.0,0.0,0.0,0.28639240506329117,0.44526445264452646
DDoS,0.0,0.0,0.738283785538102,0.7907287162303083,0.9969102946903804,0.9984138128299139
DoS GoldenEye,0.0,0.0,0.3656618610747051,0.4071506749361547,0.9295543905635649,0.9630006788866259
DoS Hulk,0.0,0.0,0.6143272304562627,0.7234180897299887,0.9952339436210403,0.9901980627439642
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.8182912154031288,0.8962108731466227
DoS slowloris,0.0,0.0,0.0,0.0,0.9093997734994338,0.951985773562537
FTP-Patator,0.0,0.0,0.0,0.0,0.998297147722435,0.9991478483170004
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0,0.9974168889262238,0.995743967125815
SSH-Patator,0.0,0.0,0.0,0.0,0.9958847736625515,0.9979381443298969
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.23529411764705882,0.3717728055077453
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.0,0.0
