file_id,file_name,label,num_samples
0,10_Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,bot,286191
0,10_Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,normal,762384
1,1_Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,ftp-bruteforce,193360
1,1_Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,normal,667626
1,1_Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,ssh-bruteforce,187589
2,2_Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,dos-attacks-goldeneye,41508
2,2_Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,dos-attacks-slowloris,10990
2,2_Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,normal,996077
3,3_Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,dos-attacks-hulk,461912
3,3_Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,dos-attacks-slowhttptest,139890
3,3_Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,normal,446773
4,4_Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,ddos-attacks-loic-http,576191
4,4_Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,normal,7372557
5,5_Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,ddos-attack-hoic,686012
5,5_Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,ddos-attack-loic-udp,1730
5,5_Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,normal,360833
6,6_Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,brute-force--web,249
6,6_Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,brute-force--xss,79
6,6_Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,normal,1048213
6,6_Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,sql-injection,34
7,7_Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,brute-force--web,362
7,7_Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,brute-force--xss,151
7,7_Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,normal,1048009
7,7_Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,sql-injection,53
8,8_Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,infilteration,68871
8,8_Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,normal,544233
9,9_Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,infilteration,93063
9,9_Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,normal,238062
