split,class,rows,ts_min,ts_max
D_global,backdoor,60259,1556436603451,1556473964807
D_global,benign,1008547,1556028590672,1556205172071
D_global,ddos,306825,1556203727370,1556224794579
D_global,dos,34143,1556129622297,1556139893779
D_global,injection,100723,1556171375105,1556177895790
D_global,mitm,1642,1556540442076,1556542128950
D_global,password,318720,1556286349651,1556307630036
D_global,ransomware,1075,1556423457347,1556425706674
D_global,scanning,8940,1556028591326,1556076701234
D_global,xss,493682,1556340862398,1556350676679
D_expert,backdoor,30129,1556473964807,1556489233083
D_expert,benign,504273,1556205172071,1556216483324
D_expert,ddos,153412,1556224794588,1556230524783
D_expert,dos,17071,1556139894064,1556144370123
D_expert,injection,50361,1556177895826,1556180505490
D_expert,mitm,821,1556542128950,1556542657006
D_expert,password,159360,1556307630051,1556314328242
D_expert,ransomware,537,1556425706675,1556426483319
D_expert,scanning,4470,1556076701262,1556076846039
D_expert,xss,246841,1556350676680,1556354602007
D_route,backdoor,30130,1556489233458,1556500677135
D_route,benign,504275,1556216483325,1556222217870
D_route,ddos,153414,1556230524792,1556236766603
D_route,dos,17072,1556144371580,1556148748412
D_route,injection,50363,1556180505502,1556181577627
D_route,mitm,822,1556542657006,1556542686642
D_route,password,159361,1556314328243,1556321080248
D_route,ransomware,539,1556426483320,1556427562859
D_route,scanning,4471,1556076846050,1556079443148
D_route,xss,246841,1556354602014,1556358395420
D_tune,backdoor,16056,1556500678025,1556506760128
D_tune,benign,1181889,1556222217972,1556231716858
D_tune,ddos,83303,1556236766662,1556240648934
D_tune,dos,9164,1556148748460,1556151058202
D_tune,injection,28370,1556181577663,1556182462958
D_tune,mitm,400,1556542686684,1556546451646
D_tune,password,85322,1556321080248,1556324519241
D_tune,ransomware,297,1556427568947,1556427690737
D_tune,scanning,6063,1556079447775,1556083983099
D_tune,xss,135711,1556358395426,1556360460149
D_cal,backdoor,24084,1556506761363,1556515919079
D_cal,benign,1772834,1556231716858,1556246752539
D_cal,ddos,124955,1556240648956,1556245334483
D_cal,dos,13747,1556151058249,1556154706778
D_cal,injection,42555,1556182463007,1556184815905
D_cal,mitm,600,1556546451744,1556547209841
D_cal,password,127985,1556324519241,1556329351314
D_cal,ransomware,447,1556427690737,1556428148340
D_cal,scanning,9096,1556083983129,1556088590929
D_cal,xss,203568,1556360460151,1556363555939
test_dev_holdout,backdoor,40030,1556515919360,1556531132443
test_dev_holdout,benign,1474302,1556246752539,1556549155177
test_dev_holdout,ddos,103338,1556245334526,1556254870342
test_dev_holdout,dos,22458,1556154707123,1556160620576
test_dev_holdout,injection,68891,1556184816032,1556187258099
test_dev_holdout,mitm,1161,1556547209842,1556548985358
test_dev_holdout,password,210951,1556329351316,1556336864675
test_dev_holdout,ransomware,709,1556428148342,1556429194318
test_dev_holdout,scanning,6029,1556088591864,1556089597647
test_dev_holdout,xss,343854,1556363555939,1556368852509
