Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1
BENIGN,1.0,0.890996865269328,0.9926055578622432,0.9357217147883623
Bot,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.738283785538102,0.7907287162303083
DoS GoldenEye,0.0,0.0,0.3656618610747051,0.4071506749361547
DoS Hulk,0.0,0.0,0.6143272304562627,0.7234180897299887
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.0,0.0
FTP-Patator,0.0,0.0,0.0,0.0
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0
SSH-Patator,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
