index,class_id,class,family,split_role,pca1,pca2
2671,9,normal,Normal,Known_Source,2.9445066,17.307543
3966,9,normal,Normal,Known_Source,-2.8330052,-0.55918753
6030,9,normal,Normal,Known_Source,1.2646223,0.50027686
7782,9,normal,Normal,Known_Source,0.6064002,1.8967218
13965,9,normal,Normal,Known_Source,-1.4044355,0.93489873
14380,9,normal,Normal,Known_Source,-1.4046077,0.93496156
15861,9,normal,Normal,Known_Source,3.922829,-3.5707383
19045,9,normal,Normal,Known_Source,2.2632287,0.88222927
19168,9,normal,Normal,Known_Source,-2.668414,-1.0033174
20288,9,normal,Normal,Known_Source,-0.4595748,1.3635973
20421,9,normal,Normal,Known_Source,-1.6755875,2.5812793
21939,9,normal,Normal,Known_Source,-2.7457325,-0.6035419
26792,9,normal,Normal,Known_Source,2.541056,-2.462798
27040,9,normal,Normal,Known_Source,-2.3632677,-0.2397883
31559,9,normal,Normal,Known_Source,-2.3186915,-0.23796576
34549,9,normal,Normal,Known_Source,-2.3173912,-0.23988524
39242,9,normal,Normal,Known_Source,-2.395419,-0.26792318
40166,9,normal,Normal,Known_Source,5.35424,-4.476046
41830,9,normal,Normal,Known_Source,-2.2847145,-0.27719387
42160,9,normal,Normal,Known_Source,4.860985,-1.1548748
42538,9,normal,Normal,Known_Source,-1.4122343,1.0318841
42977,9,normal,Normal,Known_Source,-2.904888,-0.6190172
45411,9,normal,Normal,Known_Source,-2.3323894,-0.22109088
46241,9,normal,Normal,Known_Source,-2.3092253,-0.24225381
52718,9,normal,Normal,Known_Source,1.1987941,-0.040507246
55060,9,normal,Normal,Known_Source,3.5463512,4.9293814
56475,9,normal,Normal,Known_Source,-2.4674714,-0.5048986
60449,9,normal,Normal,Known_Source,-2.2087169,-0.25537643
61053,9,normal,Normal,Known_Source,-2.3617933,-0.23285314
62078,9,normal,Normal,Known_Source,-2.0628603,-0.21565217
64857,9,normal,Normal,Known_Source,0.52089125,1.004241
68374,9,normal,Normal,Known_Source,-2.382637,-0.27820262
71510,9,normal,Normal,Known_Source,-2.3030357,-0.18242434
78379,9,normal,Normal,Known_Source,1.477392,-0.08360605
78380,9,normal,Normal,Known_Source,1.5541452,0.111507095
79355,9,normal,Normal,Known_Source,-1.9954967,0.77568406
82869,9,normal,Normal,Known_Source,-0.929568,0.63073504
87248,9,normal,Normal,Known_Source,-1.3431526,1.3969527
88279,9,normal,Normal,Known_Source,-1.6834427,0.8086593
88417,9,normal,Normal,Known_Source,-2.0925236,0.66740966
91885,9,normal,Normal,Known_Source,-1.1928345,1.2948313
92036,9,normal,Normal,Known_Source,-2.4151826,-0.3690549
94393,9,normal,Normal,Known_Source,-2.3721333,-0.29396373
95127,9,normal,Normal,Known_Source,-0.8699763,1.740422
99318,9,normal,Normal,Known_Source,-2.2640858,-0.39446613
99995,9,normal,Normal,Known_Source,4.7865353,-1.1077102
99999,9,normal,Normal,Known_Source,-2.2086706,-0.17158598
101999,9,normal,Normal,Known_Source,-1.9577606,-0.5033578
104166,9,normal,Normal,Known_Source,-2.354324,-0.20095259
105899,9,normal,Normal,Known_Source,-1.245202,1.7209616
109623,9,normal,Normal,Known_Source,-2.0334256,0.7258798
113411,9,normal,Normal,Known_Source,-2.2910683,-0.19542864
116983,9,normal,Normal,Known_Source,-2.5356543,-0.57616013
120772,9,normal,Normal,Known_Source,-2.1170845,-0.28249592
122384,9,normal,Normal,Known_Source,-2.4300268,-0.34635457
128155,9,normal,Normal,Known_Source,-1.1041546,1.017806
129233,9,normal,Normal,Known_Source,-1.5811962,1.306953
130684,9,normal,Normal,Known_Source,-1.2827791,1.0443052
136907,9,normal,Normal,Known_Source,-2.7828166,-1.0368692
136970,9,normal,Normal,Known_Source,-2.3167727,-0.24321109
137764,9,normal,Normal,Known_Source,-2.4292028,-0.5504876
137983,9,normal,Normal,Known_Source,-1.2285292,1.1687146
138386,9,normal,Normal,Known_Source,-1.4189211,-0.18932194
143246,9,normal,Normal,Known_Source,-1.8146418,0.9361695
145813,9,normal,Normal,Known_Source,-2.961274,-0.62364817
147146,9,normal,Normal,Known_Source,-0.903104,1.176964
149980,9,normal,Normal,Known_Source,-2.3535962,-0.31663004
151988,9,normal,Normal,Known_Source,-1.6389099,0.50702465
152147,9,normal,Normal,Known_Source,-2.694891,-1.0615314
153712,9,normal,Normal,Known_Source,-1.9402542,-0.799979
157719,9,normal,Normal,Known_Source,-2.5137198,-0.98024625
159164,9,normal,Normal,Known_Source,3.9282036,-3.570966
160010,9,normal,Normal,Known_Source,-2.8067982,-0.58118606
160942,9,normal,Normal,Known_Source,-2.2740183,-0.13932769
163552,9,normal,Normal,Known_Source,-2.2363894,-0.33629653
164454,9,normal,Normal,Known_Source,-2.034042,0.7261015
168342,9,normal,Normal,Known_Source,-2.51046,-0.48193356
171016,9,normal,Normal,Known_Source,-2.7200468,-0.5608028
171722,9,normal,Normal,Known_Source,-2.404276,-0.25259495
172826,9,normal,Normal,Known_Source,-2.7951074,-1.0908508
175101,9,normal,Normal,Known_Source,-2.724184,-1.0123875
175314,9,normal,Normal,Known_Source,-2.3357284,-0.22161028
182637,9,normal,Normal,Known_Source,-2.3844738,-0.27062103
182944,9,normal,Normal,Known_Source,-2.9203484,-0.61904055
184088,9,normal,Normal,Known_Source,-2.7495658,-0.5644814
185478,9,normal,Normal,Known_Source,-1.3972633,1.3940135
188878,9,normal,Normal,Known_Source,-2.3667486,-0.3073494
191489,9,normal,Normal,Known_Source,-1.4848489,1.2843146
191825,9,normal,Normal,Known_Source,-2.817711,-1.0966495
193901,9,normal,Normal,Known_Source,-2.8423054,-0.6834306
194149,9,normal,Normal,Known_Source,-2.3326333,-0.21408412
194319,9,normal,Normal,Known_Source,-1.2486682,1.6493354
194526,9,normal,Normal,Known_Source,-2.3603327,-0.17233631
197536,9,normal,Normal,Known_Source,-2.3809679,-0.28203532
197988,9,normal,Normal,Known_Source,0.516861,0.08051151
198369,9,normal,Normal,Known_Source,0.20478056,0.028770696
200510,9,normal,Normal,Known_Source,-1.2704614,1.6009018
201582,9,normal,Normal,Known_Source,-2.4524028,-0.49927592
201746,9,normal,Normal,Known_Source,-2.4083092,-0.23192114
202969,9,normal,Normal,Known_Source,-2.3218014,-0.1999188
204309,9,normal,Normal,Known_Source,-0.31276077,3.2001467
208149,9,normal,Normal,Known_Source,-0.15181775,-0.06937456
208688,9,normal,Normal,Known_Source,1.6845456,0.11605649
210125,9,normal,Normal,Known_Source,0.6541702,0.5567932
211422,9,normal,Normal,Known_Source,-2.394425,-0.26844606
213306,9,normal,Normal,Known_Source,-2.4108536,-0.24538356
213308,9,normal,Normal,Known_Source,3.1606271,15.857944
214292,9,normal,Normal,Known_Source,-2.3273413,-0.22113353
214564,9,normal,Normal,Known_Source,-2.1586368,-0.48834628
215621,9,normal,Normal,Known_Source,-2.3284612,-0.22382946
215975,9,normal,Normal,Known_Source,-1.7445954,-0.93119794
217440,9,normal,Normal,Known_Source,-2.3991592,-0.24850695
221232,9,normal,Normal,Known_Source,-2.352945,-0.26377222
224046,9,normal,Normal,Known_Source,-2.3774557,-0.14114687
224230,9,normal,Normal,Known_Source,1.4129927,-0.13840388
228035,9,normal,Normal,Known_Source,0.41857022,-1.603187
228336,9,normal,Normal,Known_Source,-2.122053,-0.21412635
233068,9,normal,Normal,Known_Source,-2.362074,-0.23019952
236375,9,normal,Normal,Known_Source,-1.7595828,0.15262017
236505,9,normal,Normal,Known_Source,-2.3151908,-0.20469075
241234,9,normal,Normal,Known_Source,-2.3776815,-0.19570743
242001,9,normal,Normal,Known_Source,-2.4317486,-0.23639144
242271,9,normal,Normal,Known_Source,-2.2943256,-0.18550853
242911,9,normal,Normal,Known_Source,-2.2357814,-0.23634845
245129,9,normal,Normal,Known_Source,-2.3995068,-0.11293675
245865,9,normal,Normal,Known_Source,-2.3350494,-0.25535434
